"","shockfreq","impact","duration","span","lifem","copies","lost midmean","median","Nreps"
"104",50000,50,10000,3,500,5,0,0,21
"105",50000,50,10000,3,1000,2,1828.72727272727,15,21
"106",50000,50,10000,3,1000,3,2.54545454545455,3,21
"107",50000,50,10000,3,1000,4,0,0,21
"108",50000,50,10000,3,1000,5,0,0,21
"109",50000,50,20000,1,10,2,851.272727272727,775,21
"110",50000,50,20000,1,10,3,182.272727272727,57,21
"111",50000,50,20000,1,10,4,4.27272727272727,2,21
"112",50000,50,20000,1,10,5,0,0,21
"113",50000,50,20000,1,20,2,363.272727272727,362,21
"114",50000,50,20000,1,20,3,23.8181818181818,12,21
"115",50000,50,20000,1,20,4,1.18181818181818,1,21
"116",50000,50,20000,1,20,5,0,0,21
"117",50000,50,20000,1,30,2,272.727272727273,254,21
"118",50000,50,20000,1,30,3,12.6363636363636,3,21
"119",50000,50,20000,1,30,4,0.181818181818182,0,21
"120",50000,50,20000,1,30,5,0,0,21
"121",50000,50,20000,1,50,2,148.181818181818,142,21
"122",50000,50,20000,1,50,3,13,2,21
"123",50000,50,20000,1,50,4,0,0,21
"124",50000,50,20000,1,50,5,0,0,21
"125",50000,50,20000,1,100,2,82.9090909090909,80,21
"126",50000,50,20000,1,100,3,2.27272727272727,0,21
"127",50000,50,20000,1,100,4,0,0,21
"128",50000,50,20000,1,100,5,0,0,21
"129",50000,50,20000,1,200,2,39.1818181818182,39,21
"130",50000,50,20000,1,200,3,0,0,21
"131",50000,50,20000,1,200,4,0,0,21
"132",50000,50,20000,1,200,5,0,0,21
"133",50000,50,20000,1,300,2,27.9090909090909,28,21
"134",50000,50,20000,1,300,3,1.72727272727273,0,21
"135",50000,50,20000,1,300,4,0,0,21
"136",50000,50,20000,1,300,5,0,0,21
"137",50000,50,20000,1,500,2,16.3636363636364,17,21
"138",50000,50,20000,1,500,3,0.545454545454545,0,21
"139",50000,50,20000,1,500,4,0,0,21
"140",50000,50,20000,1,500,5,0,0,21
"141",50000,50,20000,1,1000,2,8.36363636363636,9,21
"142",50000,50,20000,1,1000,3,0,0,21
"143",50000,50,20000,1,1000,4,0,0,21
"144",50000,50,20000,1,1000,5,0,0,21
"145",50000,50,20000,2,10,2,3580.81818181818,1272,21
"146",50000,50,20000,2,10,3,207.181818181818,317,21
"147",50000,50,20000,2,10,4,7,7,21
"148",50000,50,20000,2,10,5,0.0909090909090909,0,21
"149",50000,50,20000,2,20,2,505.090909090909,511,21
"150",50000,50,20000,2,20,3,66.8181818181818,13,21
"151",50000,50,20000,2,20,4,0.909090909090909,0,21
"152",50000,50,20000,2,20,5,0,0,21
"153",50000,50,20000,2,30,2,1238.09090909091,356,21
"154",50000,50,20000,2,30,3,33.2727272727273,5,21
