# A tibble: 1,080 x 3
     lifem docsize mdmlosspct
     <int>   <int>      <dbl>
 285    30      50        2.9
 286    30      50        3.7
 287    30      50        3.5
 288    30      50        3.3
 289    50      50        1.6
 290    50      50        2.3
 291    50      50       29.9
 292    50      50       56.5
 293    50      50        1.8
 294    50      50        1.7
 295    50      50        2.0
 296    50      50        2.1
 297    50      50       11.8
 298    50      50        2.6
 299    50      50       12.0
 300    50      50        2.8
 301    50      50        1.4
 302    50      50        1.5
 303    50      50        1.4
 304    50      50        1.5
 305    50      50        1.6
 306    50      50        1.5
 307    50      50        2.0
 308    50      50        2.1
 309    50      50        1.8
 310    50      50        2.3
 311    50      50        2.2
 312    50      50        1.9
 313   100      50        1.1
 314   100      50       19.2
 315   100      50       28.7
 316   100      50       55.7
 317   100      50        0.7
 318   100      50        0.7
 319   100      50        1.0
 320   100      50        0.9
 321   100      50        1.5
 322   100      50        1.6
 323   100      50       10.7
 324   100      50        1.5
 325   100      50        0.8
 326   100      50        0.7
 327   100      50        0.7
 328   100      50        0.9
 329   100      50        0.8
 330   100      50        0.8
 331   100      50        1.0
 332   100      50        1.0
 333   100      50        1.0
 334   100      50        1.1
 335   100      50        1.1
 336   100      50        1.1
 337   200      50        0.4
 338   200      50        0.4
 339   200      50       27.9
 340   200      50       73.1
 341   200      50        0.4
 342   200      50        0.4
 343   200      50        0.4
 344   200      50        0.5
 345   200      50        0.8
 346   200      50        0.7
 347   200      50        0.9
 348   200      50        0.8
 349   200      50        0.3
 350   200      50        0.3
 351   200      50        0.4
 352   200      50        0.4
 353   200      50        0.4
 354   200      50        0.4
 355   200      50        0.5
 356   200      50        0.5
 357   200      50        0.5
 358   200      50        0.6
 359   200      50        0.6
 360   200      50        0.5
 361   300      50        0.2
 362   300      50        0.4
 363   300      50       27.8
 364   300      50       63.9
 365   300      50        0.2
 366   300      50        0.2
 367   300      50        0.3
 368   300      50        0.2
 369   300      50        0.5
 370   300      50        0.4
 371   300      50        9.6
 372   300      50        0.4
 373   300      50        0.3
 374   300      50        0.3
 375   300      50        0.2
 376   300      50        0.3
 377   300      50        0.3
 378   300      50        0.3
 379   300      50        0.4
 380   300      50        0.4
 381   300      50        0.4
 382   300      50        0.4
 383   300      50        0.4
 384   300      50        0.4
 385   500      50        0.2
 386   500      50        0.2
 387   500      50       54.7
 388   500      50       81.9
 389   500      50        0.2
 390   500      50        0.1
 391   500      50        0.2
 392   500      50        0.2
 393   500      50        0.3
 394   500      50        0.2
 395   500      50        0.3
 396   500      50        0.3
 397   500      50        0.2
 398   500      50        0.1
 399   500      50        0.1
 400   500      50        0.2
 401   500      50        0.2
 402   500      50        0.2
 403   500      50        0.2
 404   500      50        0.2
 405   500      50        0.2
 406   500      50        0.2
 407   500      50        0.2
 408   500      50        0.2
 409  1000      50        9.2
 410  1000      50       27.4
 411  1000      50       36.5
 412  1000      50       63.7
 413  1000      50        0.1
 414  1000      50        0.1
 415  1000      50        0.1
 416  1000      50        0.1
 417  1000      50       18.3
 418  1000      50        0.1
 419  1000      50       18.3
 420  1000      50        0.1
 421  1000      50        0.1
 422  1000      50        0.1
 423  1000      50        0.1
 424  1000      50        0.1
 425  1000      50        0.1
 426  1000      50        0.1
 427  1000      50        0.1
 428  1000      50        0.1
 429  1000      50        0.1
 430  1000      50        0.1
 431  1000      50        0.1
 432  1000      50        0.1
 433    10      50        1.6
 434    10      50        1.9
 435    10      50        2.7
 436    10      50        3.9
 437    10      50        1.2
 438    10      50        1.0
 439    10      50        1.2
 440    10      50        1.3
 441    10      50        2.8
 442    10      50        1.4
 443    10      50        2.9
 444    10      50        1.4
 445    10      50        0.6
 446    10      50        0.6
 447    10      50        0.9
 448    10      50        0.6
 449    10      50        0.7
 450    10      50        1.8
 451    10      50        0.7
 452    10      50        0.7
 453    10      50        1.3
 454    10      50        1.3
 455    10      50        1.0
 456    10      50        1.0
 457    20      50        0.2
 458    20      50        0.3
 459    20      50        1.7
 460    20      50        2.2
 461    20      50        0.4
 462    20      50        0.5
 463    20      50        0.4
 464    20      50        0.5
 465    20      50        0.8
 466    20      50        0.9
 467    20      50        1.3
 468    20      50        0.7
 469    20      50        0.2
 470    20      50        0.5
 471    20      50        0.2
 472    20      50        0.1
 473    20      50        0.5
 474    20      50        0.2
 475    20      50        0.3
 476    20      50        0.3
 477    20      50        0.2
 478    20      50        0.4
 479    20      50        0.4
 480    20      50        0.4
 481    30      50        0.2
 482    30      50        0.1
 483    30      50        0.8
 484    30      50        1.6
 485    30      50        0.2
 486    30      50        0.5
 487    30      50        0.2
 488    30      50        0.7
 489    30      50        0.3
 490    30      50        0.7
 491    30      50        0.4
 492    30      50        0.7
 493    30      50        0.2
 494    30      50        0.2
 495    30      50        0.1
 496    30      50        0.1
 497    30      50        0.1
 498    30      50        0.1
 499    30      50        0.2
 500    30      50        0.2
 501    30      50        0.4
 502    30      50        0.2
 503    30      50        0.2
 504    30      50        0.3
 505    50      50        0.4
 506    50      50        0.4
 507    50      50        0.5
 508    50      50        0.8
 509    50      50        0.1
 510    50      50        0.2
 511    50      50        0.1
 512    50      50        0.2
 513    50      50        0.3
 514    50      50        0.3
 515    50      50        0.3
 516    50      50        0.4
 517    50      50        0.0
 518    50      50        0.1
 519    50      50        0.1
 520    50      50        0.1
 521    50      50        0.1
 522    50      50        0.1
 523    50      50        0.1
 524    50      50        0.1
 525    50      50        0.2
 526    50      50        0.2
 527    50      50        0.2
 528    50      50        0.2
 529   100      50        0.1
 530   100      50        0.2
 531   100      50        0.4
 532   100      50        0.4
 533   100      50        0.2
 534   100      50        0.1
 535   100      50        0.2
 536   100      50        0.1
 537   100      50        0.1
 538   100      50        0.2
 539   100      50        0.1
 540   100      50        0.2
 541   100      50        0.0
 542   100      50        0.0
 543   100      50        0.0
