XXX Document losses with single copy and varying document size 

# A tibble: 864 x 3
    lifem copies mdmlosspct
    <int>  <int>      <dbl>
302    50      3        0.1
303    50      3        0.1
304    50      3        0.1
305    50      3        0.1
306    50      3        0.1
307    50      3        0.1
308    50      3        0.1
309    50      3        0.2
310    50      3        0.2
311    50      3        0.2
312    50      3        0.2
313   100      3        0.1
314   100      3        0.2
315   100      3        0.4
316   100      3        0.4
317   100      3        0.2
318   100      3        0.1
319   100      3        0.2
320   100      3        0.1
321   100      3        0.1
322   100      3        0.2
323   100      3        0.1
324   100      3        0.2
325   100      3        0.0
326   100      3        0.0
327   100      3        0.0
328   100      3        0.0
329   100      3        0.0
330   100      3        0.0
331   100      3        0.1
332   100      3        0.1
333   100      3        0.0
334   100      3        0.1
335   100      3        0.1
336   100      3        0.0
337   200      3        0.0
338   200      3        0.0
339   200      3        0.1
340   200      3        0.2
341   200      3        0.0
342   200      3        0.0
343   200      3        0.0
344   200      3        0.0
345   200      3        0.1
346   200      3        0.1
347   200      3        0.1
348   200      3        0.0
349   200      3        0.0
350   200      3        0.0
351   200      3        0.0
352   200      3        0.0
353   200      3        0.0
354   200      3        0.0
355   200      3        0.0
356   200      3        0.0
357   200      3        0.0
358   200      3        0.0
359   200      3        0.1
360   200      3        0.0
361   300      3        0.0
362   300      3        0.0
363   300      3        0.0
364   300      3        0.1
365   300      3        0.0
366   300      3        0.0
367   300      3        0.0
368   300      3        0.0
369   300      3        0.0
370   300      3        0.0
371   300      3        0.0
372   300      3        0.0
373   300      3        0.0
374   300      3        0.0
375   300      3        0.0
376   300      3        0.0
377   300      3        0.0
378   300      3        0.0
379   300      3        0.0
380   300      3        0.0
381   300      3        0.0
382   300      3        0.0
383   300      3        0.0
384   300      3        0.0
385   500      3        0.0
386   500      3        0.0
387   500      3        0.0
388   500      3        0.0
389   500      3        0.0
390   500      3        0.0
391   500      3        0.0
392   500      3        0.0
393   500      3        0.0
394   500      3        0.0
395   500      3        0.0
396   500      3        0.0
397   500      3        0.0
398   500      3        0.0
399   500      3        0.0
400   500      3        0.0
401   500      3        0.0
402   500      3        0.0
403   500      3        0.0
404   500      3        0.0
405   500      3        0.0
406   500      3        0.0
407   500      3        0.0
408   500      3        0.0
409  1000      3        0.0
410  1000      3        0.0
411  1000      3        0.0
412  1000      3        0.0
413  1000      3        0.0
414  1000      3        0.0
415  1000      3        0.0
416  1000      3        0.0
417  1000      3        0.0
418  1000      3        0.0
419  1000      3        0.0
420  1000      3        0.0
421  1000      3        0.0
422  1000      3        0.0
423  1000      3        0.0
424  1000      3        0.0
425  1000      3        0.0
426  1000      3        0.0
427  1000      3        0.0
428  1000      3        0.0
429  1000      3        0.0
430  1000      3        0.0
431  1000      3        0.0
432  1000      3        0.0
433    10      4        0.1
434    10      4        0.1
435    10      4        0.1
436    10      4        0.2
437    10      4        0.1
438    10      4        0.1
439    10      4        0.1
440    10      4        0.1
441    10      4        0.1
442    10      4        0.1
443    10      4        0.2
444    10      4        0.1
445    10      4        0.0
446    10      4        0.1
447    10      4        0.0
448    10      4        0.0
449    10      4        0.0
450    10      4        0.0
451    10      4        0.1
452    10      4        0.1
453    10      4        0.1
454    10      4        0.1
455    10      4        0.1
456    10      4        0.1
457    20      4        0.0
458    20      4        0.0
459    20      4        0.0
460    20      4        0.0
461    20      4        0.0
462    20      4        0.0
463    20      4        0.0
464    20      4        0.0
465    20      4        0.0
466    20      4        0.0
467    20      4        0.0
468    20      4        0.0
469    20      4        0.0
470    20      4        0.0
471    20      4        0.0
472    20      4        0.0
473    20      4        0.0
474    20      4        0.0
475    20      4        0.0
476    20      4        0.0
477    20      4        0.0
478    20      4        0.0
479    20      4        0.0
480    20      4        0.0
481    30      4        0.0
482    30      4        0.0
483    30      4        0.0
484    30      4        0.0
485    30      4        0.0
486    30      4        0.0
487    30      4        0.0
488    30      4        0.0
489    30      4        0.0
490    30      4        0.0
491    30      4        0.0
492    30      4        0.0
493    30      4        0.0
494    30      4        0.0
495    30      4        0.0
496    30      4        0.0
497    30      4        0.0
498    30      4        0.0
499    30      4        0.0
500    30      4        0.0
501    30      4        0.0
502    30      4        0.0
503    30      4        0.0
504    30      4        0.0
505    50      4        0.0
506    50      4        0.0
507    50      4        0.0
508    50      4        0.0
509    50      4        0.0
510    50      4        0.0
511    50      4        0.0
512    50      4        0.0
513    50      4        0.0
514    50      4        0.0
515    50      4        0.0
516    50      4        0.0
517    50      4        0.0
518    50      4        0.0
519    50      4        0.0
520    50      4        0.0
521    50      4        0.0
522    50      4        0.0
523    50      4        0.0
524    50      4        0.0
525    50      4        0.0
526    50      4        0.0
527    50      4        0.0
528    50      4        0.0
529   100      4        0.0
530   100      4        0.0
531   100      4        0.0
532   100      4        0.0
533   100      4        0.0
534   100      4        0.0
535   100      4        0.0
536   100      4        0.0
537   100      4        0.0
538   100      4        0.0
539   100      4        0.0
540   100      4        0.0
541   100      4        0.0
542   100      4        0.0
543   100      4        0.0
544   100      4        0.0
545   100      4        0.0
546   100      4        0.0
547   100      4        0.0
548   100      4        0.0
549   100      4        0.0
550   100      4        0.0
551   100      4        0.0
552   100      4        0.0
553   200      4        0.0
554   200      4        0.0
555   200      4        0.0
556   200      4        0.0
557   200      4        0.0
558   200      4        0.0
559   200      4        0.0
560   200      4        0.0
561   200      4        0.0
562   200      4        0.0
563   200      4        0.0
564   200      4        0.0
565   200      4        0.0
566   200      4        0.0
567   200      4        0.0
568   200      4        0.0
569   200      4        0.0
570   200      4        0.0
571   200      4        0.0
572   200      4        0.0
573   200      4        0.0
574   200      4        0.0
575   200      4        0.0
576   200      4        0.0
577   300      4        0.0
578   300      4        0.0
579   300      4        0.0
580   300      4        0.0
581   300      4        0.0
582   300      4        0.0
583   300      4        0.0
584   300      4        0.0
585   300      4        0.0
586   300      4        0.0
587   300      4        0.0
588   300      4        0.0
589   300      4        0.0
590   300      4        0.0
591   300      4        0.0
592   300      4        0.0
593   300      4        0.0
594   300      4        0.0
595   300      4        0.0
596   300      4        0.0
597   300      4        0.0
598   300      4        0.0
599   300      4        0.0
600   300      4        0.0
601   500      4        0.0
602   500      4        0.0
603   500      4        0.0
604   500      4        0.0
605   500      4        0.0
606   500      4        0.0
607   500      4        0.0
608   500      4        0.0
609   500      4        0.0
610   500      4        0.0
611   500      4        0.0
612   500      4        0.0
613   500      4        0.0
614   500      4        0.0
615   500      4        0.0
616   500      4        0.0
617   500      4        0.0
618   500      4        0.0
619   500      4        0.0
620   500      4        0.0
621   500      4        0.0
622   500      4        0.0
623   500      4        0.0
624   500      4        0.0
625  1000      4        0.0
626  1000      4        0.0
627  1000      4        0.0
628  1000      4        0.0
629  1000      4        0.0
630  1000      4        0.0
631  1000      4        0.0
632  1000      4        0.0
633  1000      4        0.0
634  1000      4        0.0
635  1000      4        0.0
636  1000      4        0.0
637  1000      4        0.0
638  1000      4        0.0
639  1000      4        0.0
640  1000      4        0.0
641  1000      4        0.0
642  1000      4        0.0
643  1000      4        0.0
644  1000      4        0.0
645  1000      4        0.0
646  1000      4        0.0
647  1000      4        0.0
648  1000      4        0.0
649    10      5        0.0
650    10      5        0.0
651    10      5        0.0
652    10      5        0.0
653    10      5        0.0
654    10      5        0.0
655    10      5        0.0
656    10      5        0.0
657    10      5        0.0
658    10      5        0.0
659    10      5        0.0
660    10      5        0.0
661    10      5        0.0
662    10      5        0.0
663    10      5        0.0
664    10      5        0.0
665    10      5        0.0
666    10      5        0.0
667    10      5        0.0
668    10      5        0.0
669    10      5        0.0
670    10      5        0.0
671    10      5        0.0
672    10      5        0.0
673    20      5        0.0
674    20      5        0.0
675    20      5        0.0
676    20      5        0.0
677    20      5        0.0
678    20      5        0.0
679    20      5        0.0
680    20      5        0.0
681    20      5        0.0
682    20      5        0.0
683    20      5        0.0
684    20      5        0.0
685    20      5        0.0
686    20      5        0.0
687    20      5        0.0
688    20      5        0.0
689    20      5        0.0
690    20      5        0.0
691    20      5        0.0
692    20      5        0.0
693    20      5        0.0
694    20      5        0.0
695    20      5        0.0
696    20      5        0.0
697    30      5        0.0
698    30      5        0.0
699    30      5        0.0
700    30      5        0.0
701    30      5        0.0
702    30      5        0.0
703    30      5        0.0
704    30      5        0.0
705    30      5        0.0
706    30      5        0.0
707    30      5        0.0
708    30      5        0.0
709    30      5        0.0
710    30      5        0.0
711    30      5        0.0
712    30      5        0.0
713    30      5        0.0
714    30      5        0.0
715    30      5        0.0
716    30      5        0.0
717    30      5        0.0
718    30      5        0.0
719    30      5        0.0
720    30      5        0.0
721    50      5        0.0
722    50      5        0.0
723    50      5        0.0
724    50      5        0.0
725    50      5        0.0
726    50      5        0.0
727    50      5        0.0
728    50      5        0.0
729    50      5        0.0
730    50      5        0.0
731    50      5        0.0
732    50      5        0.0
733    50      5        0.0
734    50      5        0.0
735    50      5        0.0
736    50      5        0.0
737    50      5        0.0
738    50      5        0.0
739    50      5        0.0
740    50      5        0.0
741    50      5        0.0
742    50      5        0.0
743    50      5        0.0
744    50      5        0.0
745   100      5        0.0
746   100      5        0.0
747   100      5        0.0
748   100      5        0.0
749   100      5        0.0
750   100      5        0.0
751   100      5        0.0
752   100      5        0.0
753   100      5        0.0
754   100      5        0.0
755   100      5        0.0
756   100      5        0.0
757   100      5        0.0
758   100      5        0.0
759   100      5        0.0
760   100      5        0.0
761   100      5        0.0
762   100      5        0.0
763   100      5        0.0
764   100      5        0.0
765   100      5        0.0
766   100      5        0.0
767   100      5        0.0
768   100      5        0.0
769   200      5        0.0
770   200      5        0.0
771   200      5        0.0
772   200      5        0.0
773   200      5        0.0
774   200      5        0.0
775   200      5        0.0
776   200      5        0.0
777   200      5        0.0
778   200      5        0.0
779   200      5        0.0
780   200      5        0.0
781   200      5        0.0
782   200      5        0.0
783   200      5        0.0
784   200      5        0.0
785   200      5        0.0
786   200      5        0.0
787   200      5        0.0
788   200      5        0.0
789   200      5        0.0
790   200      5        0.0
791   200      5        0.0
792   200      5        0.0
793   300      5        0.0
794   300      5        0.0
795   300      5        0.0
796   300      5        0.0
797   300      5        0.0
798   300      5        0.0
799   300      5        0.0
800   300      5        0.0
801   300      5        0.0
802   300      5        0.0
803   300      5        0.0
804   300      5        0.0
805   300      5        0.0
806   300      5        0.0
807   300      5        0.0
808   300      5        0.0
809   300      5        0.0
810   300      5        0.0
811   300      5        0.0
812   300      5        0.0
813   300      5        0.0
814   300      5        0.0
815   300      5        0.0
816   300      5        0.0
817   500      5        0.0
818   500      5        0.0
819   500      5        0.0
820   500      5        0.0
821   500      5        0.0
822   500      5        0.0
823   500      5        0.0
824   500      5        0.0
825   500      5        0.0
826   500      5        0.0
827   500      5        0.0
828   500      5        0.0
829   500      5        0.0
830   500      5        0.0
831   500      5        0.0
832   500      5        0.0
833   500      5        0.0
834   500      5        0.0
835   500      5        0.0
836   500      5        0.0
837   500      5        0.0
838   500      5        0.0
839   500      5        0.0
840   500      5        0.0
841  1000      5        0.0
842  1000      5        0.0
843  1000      5        0.0
844  1000      5        0.0
845  1000      5        0.0
846  1000      5        0.0
847  1000      5        0.0
848  1000      5        0.0
849  1000      5        0.0
850  1000      5        0.0
851  1000      5        0.0
852  1000      5        0.0
853  1000      5        0.0
854  1000      5        0.0
855  1000      5        0.0
856  1000      5        0.0
857  1000      5        0.0
858  1000      5        0.0
859  1000      5        0.0
860  1000      5        0.0
861  1000      5        0.0
862  1000      5        0.0
863  1000      5        0.0
864  1000      5        0.0
