docsize,lifetime,lost
5,1,3919
5,2,2239
5,3,1540
5,5,945
5,10,477
5,20,235
5,30,162
5,50,92
5,100,46
5,200,23
5,300,15
5,500,10
5,1000,5
50,10,3917
50,20,2221
50,30,1541
50,50,938
50,100,474
50,200,244
50,300,162
50,500,98
50,1000,47
50,2000,24
50,3000,16
500,100,3936
500,200,2189
500,300,1530
500,500,945
500,1000,493
500,2000,247
500,3000,166
500,5000,105
5000,1000,3928
5000,2000,2211
5000,3000,1551
5000,5000,967
5000,10000,493
