docsize,lifem,c3annual,c4annual,c5annual,c3qtly,c4qtly,c5qtly,c3unif,c4unif,c5unif
50,2,1025,226,53,993,225,52,1873,897,462
50,3,348,58,8,346,53,9,821,289,118
50,5,82,8,1,79,8,1,247,53,16
50,10,11,1,0,12,0,0,39,5,0
50,20,1,0,0,1,0,0,5,0,0
50,30,0,0,0,0,0,0,2,0,0
50,50,0,0,0,0,0,0,0,0,0
50,100,0,0,0,0,0,0,0,0,0
50,200,0,0,0,0,0,0,0,0,0
50,300,0,0,0,0,0,0,0,0,0
50,500,0,0,0,0,0,0,0,0,0
50,1000,0,0,0,0,0,0,0,0,0
