timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170318_154639 50 1 1 10 100000 664375964 2963 10000 7037 0 0 2963 9 10000 1 0 0 0 2705 0 0 0 0 0 100000 30000 50 10000 1 2 3 3.762 2.672 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed664375964.log 12936 hl-extractinstructions.txt 20170318_154650 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_14
20170318_154641 50 1 1 10 100000 258760793 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 4 2.298 1.39 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed258760793.log 12981 hl-extractinstructions.txt 20170318_154651 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_15
20170318_154644 50 1 1 10 100000 666549275 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.672 2.0 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed666549275.log 13000 hl-extractinstructions.txt 20170318_154654 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_16
20170318_154646 50 1 1 10 100000 376517787 2905 10000 7095 0 0 2905 9 10000 1 0 0 0 2676 0 0 0 0 0 100000 30000 50 10000 1 2 0 3.383 2.5 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed376517787.log 12976 hl-extractinstructions.txt 20170318_154657 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_17
20170318_154648 50 1 1 10 100000 817713633 2870 10000 7130 0 0 2870 9 10000 1 0 0 0 2614 0 0 0 0 0 100000 30000 50 10000 1 2 2 3.117 2.437 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed817713633.log 12961 hl-extractinstructions.txt 20170318_154658 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_18
20170318_154650 50 1 1 10 100000 519606501 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 3.286 2.468 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed519606501.log 12965 hl-extractinstructions.txt 20170318_154701 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_19
20170318_154652 50 1 1 10 100000 715258232 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 4 2.167 1.344 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed715258232.log 12975 hl-extractinstructions.txt 20170318_154702 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_20
20170318_154654 50 1 1 10 100000 792850679 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 3.067 2.391 ../hl/a10000s1shvar/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed792850679.log 12991 hl-extractinstructions.txt 20170318_154705 0.5 4670ff204c5b7a15bc4c2a19d40521f33b19213d_21
20170318_154657 50 1 1 20 100000 919028296 1620 10000 8380 0 0 1620 9 10000 1 0 0 0 1483 0 0 0 0 0 100000 30000 50 10000 1 2 3 2.536 1.797 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed919028296.log 12967 hl-extractinstructions.txt 20170318_154707 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_1
20170318_154709 50 1 1 20 100000 103765041 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 2.057 1.36 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed103765041.log 12975 hl-extractinstructions.txt 20170318_154719 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_2
20170318_154711 50 1 1 20 100000 141246882 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 2.599 1.875 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed141246882.log 12980 hl-extractinstructions.txt 20170318_154722 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_3
20170318_154714 50 1 1 20 100000 681028781 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 1.823 1.094 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed681028781.log 12992 hl-extractinstructions.txt 20170318_154723 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_4
20170318_154716 50 1 1 20 100000 117661523 1555 10000 8445 0 0 1555 9 10000 1 0 0 0 1361 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.384 1.75 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed117661523.log 12941 hl-extractinstructions.txt 20170318_154726 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_5
20170318_154718 50 1 1 20 100000 105731136 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 1.656 1.016 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed105731136.log 12967 hl-extractinstructions.txt 20170318_154727 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_6
20170318_154721 50 1 1 20 100000 967561224 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.019 1.36 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed967561224.log 12975 hl-extractinstructions.txt 20170318_154730 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_7
20170318_154722 50 1 1 20 100000 420477893 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 1.762 1.062 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed420477893.log 12971 hl-extractinstructions.txt 20170318_154732 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_8
20170318_154725 50 1 1 20 100000 263688301 1565 10000 8435 0 0 1565 9 10000 1 0 0 0 1439 0 0 0 0 0 100000 30000 50 10000 1 2 2 2.409 1.797 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed263688301.log 12960 hl-extractinstructions.txt 20170318_154735 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_9
20170318_154727 50 1 1 20 100000 50746969 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 1.590 0.938 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed50746969.log 12992 hl-extractinstructions.txt 20170318_154736 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_10
20170318_154729 50 1 1 20 100000 533657980 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 2 1.352 0.75 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed533657980.log 12990 hl-extractinstructions.txt 20170318_154738 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_11
20170318_154731 50 1 1 20 100000 711283608 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 1.346 0.718 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed711283608.log 12938 hl-extractinstructions.txt 20170318_154740 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_12
20170318_154744 50 1 1 20 100000 597296547 10000 10000 0 0 0 10000 9 10000 1 0 0 0 10000 0 0 0 0 0 100000 30000 50 10000 1 2 1 2.207 1.532 ../hl/a10000s1shvar/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh30000i50s1m10000_seed597296547.log 13008 hl-extractinstructions.txt 20170318_154754 0.5 a72d0fc55f4eaeb89cd24c189547af4c860b48fc_13
