timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid 
20170514_164136 50 1 1 10 100000 258760793 3015 10000 6985 0 0 3015 9 10000 1 0 0 0 2745 0 0 0 0 0 0 0 0 0 0 2 0 9.951 6.718 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed258760793.log 1845378 hl-extractinstructions.txt 20170514_164202 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_15
20170514_164148 50 1 1 10 100000 666549275 2961 10000 7039 0 0 2961 9 10000 1 0 0 0 2709 0 0 0 0 0 0 0 0 0 0 2 0 10.448 6.485 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed666549275.log 1813031 hl-extractinstructions.txt 20170514_164214 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_16
20170514_164149 50 1 1 10 100000 376517787 2986 10000 7014 0 0 2986 9 10000 1 0 0 0 2759 0 0 0 0 0 0 0 0 0 0 2 0 11.261 6.984 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed376517787.log 1821359 hl-extractinstructions.txt 20170514_164217 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_17
20170514_164223 50 1 1 10 100000 817713633 2942 10000 7058 0 0 2942 9 10000 1 0 0 0 2694 0 0 0 0 0 0 0 0 0 0 2 0 9.620 6.546 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed817713633.log 1810548 hl-extractinstructions.txt 20170514_164248 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_18
20170514_164224 50 1 1 10 100000 519606501 2968 10000 7032 0 0 2968 9 10000 1 0 0 0 2696 0 0 0 0 0 0 0 0 0 0 2 0 9.060 6.719 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed519606501.log 1822945 hl-extractinstructions.txt 20170514_164250 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_19
20170514_164237 50 1 1 10 100000 715258232 2951 10000 7049 0 0 2951 9 10000 1 0 0 0 2686 0 0 0 0 0 0 0 0 0 0 2 0 10.522 6.656 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed715258232.log 1802626 hl-extractinstructions.txt 20170514_164303 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_20
20170514_164238 50 1 1 10 100000 792850679 2941 10000 7059 0 0 2941 9 10000 1 0 0 0 2716 0 0 0 0 0 0 0 0 0 0 2 0 11.013 7.031 ../hl/gl-qtr/log/doc50cop1shlf1lif10_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed792850679.log 1806591 hl-extractinstructions.txt 20170514_164305 0.5 88291c73b17681e60d5af7a20f51b61e97f8f623_21
20170514_164253 50 1 1 20 100000 919028296 1608 10000 8392 0 0 1608 9 10000 1 0 0 0 1477 0 0 0 0 0 0 0 0 0 0 2 0 6.841 4.376 ../hl/gl-qtr/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed919028296.log 999637 hl-extractinstructions.txt 20170514_164311 0.5 c4423d5ebf12be653073dbe615ab36e8305e15c4_1
20170514_164315 50 1 1 20 100000 103765041 1599 10000 8401 0 0 1599 9 10000 1 0 0 0 1461 0 0 0 0 0 0 0 0 0 0 2 0 6.794 4.25 ../hl/gl-qtr/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed103765041.log 999707 hl-extractinstructions.txt 20170514_164334 0.5 c4423d5ebf12be653073dbe615ab36e8305e15c4_2
20170514_164317 50 1 1 20 100000 141246882 1575 10000 8425 0 0 1575 9 10000 1 0 0 0 1427 0 0 0 0 0 0 0 0 0 0 2 0 7.150 4.297 ../hl/gl-qtr/log/doc50cop1shlf1lif20_af10000s1tTOTAL_gf0i0d0m0_sh0i0s0m0_seed141246882.log 982460 hl-extractinstructions.txt 20170514_164338 0.5 c4423d5ebf12be653073dbe615ab36e8305e15c4_3
