shocktest01 ShockTest HL copies=var Audit=yr Glitch=0 Shock=var lifem=var seed21 
(test of summ-shock.r) 

Input data from  ../hl/data/GiantOutput_test_cvar_lifvar_shvar_af10000s1_01.txt 
Output analysis into  ../hl/tabs/shocktest_Giant_AuditYr_copvar_shockvar_glitch0_lifvar-seed21_analysis_20170317_01.txt 

analysis tables by  ./ShelfAnalyze.r 
and summarize script ./summ-shock.r 
 at  20170316_232151 EDT 

Summary losses (midmeans)
   shockfreq impact span maxlife lifem    c1   c2    c3     c4   c5 c8
23     20000    100    3   10000   100 10000 5090   0.0  0  0  0
24     20000    100    3   10000   200 10000 5038   0.0  0  0  0
25     20000    100    3   10000   300 10000 5028   0.0  0  0  0
26     20000    100    3   10000   500 10000 5020   0.0  0  0  0
27     20000    100    3   10000  1000 10000 5008   0.0  0  0  0
28     30000     50    3   10000    10 10000 1387 372.0 13  1  0
29     30000     50    3   10000    20 10000  572 182.0  2  0  0
30     30000     50    3   10000    30 10000  351 111.0  2  0  0
31     30000     50    3   10000    50 10000  218  61.0  0  0  0
32     30000     50    3   10000   100 10000  111  39.0  0  0  0
33     30000     50    3   10000   200 10000   46  14.0  0  0  0
34     30000     50    3   10000   300 10000   35  11.0  0  0  0
35     30000     50    3   10000   500 10000   22   4.0  0  0  0
36     30000     50    3   10000  1000 10000   15   4.0  0  0  0
37     50000     50    3   20000    10 10000 1272  43.0 10  0  0
38     50000     50    3   20000    20 10000  511 157.0  2  0  0
39     50000     50    3   20000    30 10000  356 110.0  0  0  0
40     50000     50    3   20000    50 10000  211  62.0  0  0  0
41     50000     50    3   20000   100 10000  144   1.0  0  0  0
42     50000     50    3   20000   200 10000   54  11.0  0  0  0
43     50000     50    3   20000   300 10000   35  11.0  0  0  0
44     50000     50    3   20000   500 10000   17   1.0  0  0  0
45     50000     50    3   20000  1000 10000   15   0.0  0  0  0
46    100000    100    3   10000    10 10000  764  32.0  9  0  0
47    100000    100    3   10000    20 10000  372   8.0  2  0  0
48    100000    100    3   10000    30 10000  260   3.0  1  0  0
49    100000    100    3   10000    50 10000  142   1.5  0  0  0
50    100000    100    3   10000   100 10000   73   0.5  0  0  0
51    100000    100    3   10000   200 10000   41   0.0  0  0  0
52    100000    100    3   10000   300 10000   26   0.0  0  0  0
53    100000    100    3   10000   500 10000   20   0.0  0  0  0
54    100000    100    3   10000  1000 10000    6   0.0  0  0  0

Summary losses (trimeans)
   shockfreq impact span maxlife lifem    c1   c2    c3   c4  c5 c8
1      20000     50    3   10000    10 10000 3508 375.5 97.5 3.8  0
2      20000     50    3   10000    20 10000 2949 202.0  3.8 0.2  0
3      20000     50    3   10000    30 10000 2793 127.2  2.8 0.0  0
4      20000     50    3   10000    50 10000  245  52.0  0.2 0.0  0
5      20000     50    3   10000   100 10000  104  44.2  0.2 0.0  0
6      20000     50    3   10000   200 10000 2548  22.5  0.0 0.0  0
7      20000     50    3   10000   300 10000 2531  10.2  0.0 0.0  0
8      20000     50    3   10000   500 10000 2525   8.8  0.0 0.0  0
9      20000     50    3   10000  1000 10000 2509   4.5  0.0 0.0  0
10     20000    100    1   10000    10  5855    0   0.0  0.0 0.0  0
11     20000    100    1   10000    20 10000 5435   0.0  0.0 0.0  0
12     20000    100    1   10000    30 10000 5279   0.0  0.0 0.0  0
13     20000    100    1   10000    50 10000 5172   0.0  0.0 0.0  0
14     20000    100    1   10000   100 10000 5090   0.0  0.0 0.0  0
15     20000    100    1   10000   200 10000 5038   0.0  0.0 0.0  0
