../shock/tabs/analysis_shockvslife_20170617_00.txt 20170617_204632EDT 
shockvslife tests SHOCK copies=var Audit=1yr Shock=10000, dur=5000 lifem=var svrdeflife=100000 seed21 

Reordered tables based on 
shockvslife tests SHOCK copies=var Audit=1yr Shock=10000, dur=5000 lifem=var svrdeflife=100000 seed21 
(is bad glitch worse than server finite life?) 

Input data from 		 ../../../shockspan1/1yr/dat/GiantOutput_shk10000d5000impvarspan1_20170612_00.txt 
Output analysis into 	 ../shock/tabs/analysis_shockvslife_20170617_00.txt 

analysis tables by 		 ./ShelfAnalyze.r 	 20170514_131518EDT 
and summarize script 	 ./summ-shockvslife-4.r 	 20170617_202610EDT 
at 	 20170617_204632EDT 



Summary losses (midmeans), normal order: freq impact life copies 
(varying from slowest to fastest, i.e., copies varies most quickly) 

    shockfreq impact duration lifem copies svrdeflife lost midmean median Nreps
70      10000     50     5000   100      5     100000         0.00      0    21
71      10000     50     5000   200      1     100000     10000.00  10000    21
72      10000     50     5000   200      2     100000        42.64     43    21
73      10000     50     5000   200      3     100000         1.27      0    21
74      10000     50     5000   200      4     100000         0.00      0    21
75      10000     50     5000   200      5     100000         0.00      0    21
76      10000     50     5000   300      1     100000     10000.00  10000    21
77      10000     50     5000   300      2     100000        38.18     37    21
78      10000     50     5000   300      3     100000         1.82      0    21
79      10000     50     5000   300      4     100000         0.00      0    21
80      10000     50     5000   300      5     100000         0.00      0    21
81      10000     50     5000   500      1     100000     10000.00  10000    21
82      10000     50     5000   500      2     100000        21.36     21    21
83      10000     50     5000   500      3     100000         1.91      0    21
84      10000     50     5000   500      4     100000         0.00      0    21
85      10000     50     5000   500      5     100000         0.00      0    21
86      10000     50     5000  1000      1     100000     10000.00  10000    21
87      10000     50     5000  1000      2     100000      2735.91     15    21
88      10000     50     5000  1000      3     100000         1.09      0    21
89      10000     50     5000  1000      4     100000         0.00      0    21
90      10000     50     5000  1000      5     100000         0.00      0    21
91      10000     90     5000    10      1     100000     10000.00  10000    21
92      10000     90     5000    10      2     100000      8576.91  10000    21
93      10000     90     5000    10      3     100000       267.36    370    21
94      10000     90     5000    10      4     100000        13.64     12    21
95      10000     90     5000    10      5     100000         0.82      1    21
96      10000     90     5000    20      1     100000     10000.00  10000    21
97      10000     90     5000    20      2     100000      4159.64    852    21
98      10000     90     5000    20      3     100000       165.82    183    21
99      10000     90     5000    20      4     100000         4.00      4    21
100     10000     90     5000    20      5     100000         0.00      0    21
101     10000     90     5000    30      1     100000     10000.00  10000    21
102     10000     90     5000    30      2     100000      4842.45    654    21
103     10000     90     5000    30      3     100000        85.00    103    21
