timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150619_172136 5 1 1 30 100000 715258232 154 10000 9846 0 0 154 0 0 0 0 0 0 0 0 100 0 0 0 1.859 0.234 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed715258232.log 82922 q3-extractinstructions.txt 20150619_172144 0.5 5582f88c776839292828b070
20150619_172141 5 1 1 30 100000 792850679 170 10000 9830 0 0 170 0 0 0 0 0 0 0 0 100 0 0 0 1.933 0.234 ../q3/./log/doc5cop1shlf1lif30_af0s1tTOTAL_gf0i100d0m0_seed792850679.log 90869 q3-extractinstructions.txt 20150619_172149 0.5 5582f88c776839292828b071
20150619_172334 5 1 1 300 100000 919028296 16 10000 9984 0 0 16 0 0 0 0 0 0 0 0 100 0 0 0 1.351 0.032 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 17410 q3-extractinstructions.txt 20150619_172340 0.5 5582f88c776839292828b255
20150619_172339 5 1 1 300 100000 103765041 22 10000 9978 0 0 22 0 0 0 0 0 0 0 0 100 0 0 0 1.373 0.032 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 20339 q3-extractinstructions.txt 20150619_172345 0.5 5582f88c776839292828b256
20150619_172344 5 1 1 300 100000 141246882 9 10000 9991 0 0 9 0 0 0 0 0 0 0 0 100 0 0 0 1.350 0.015 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 13991 q3-extractinstructions.txt 20150619_172351 0.5 5582f88c776839292828b257
20150619_172757 5 1 1 300 100000 681028781 17 10000 9983 0 0 17 0 0 0 0 0 0 0 0 100 0 0 0 1.421 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 17889 q3-extractinstructions.txt 20150619_172804 0.5 5582f88c776839292828b258
20150619_172759 5 1 1 300 100000 117661523 27 10000 9973 0 0 27 0 0 0 0 0 0 0 0 100 0 0 0 1.434 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 22581 q3-extractinstructions.txt 20150619_172806 0.5 5582f88c776839292828b259
20150619_172801 5 1 1 300 100000 105731136 18 10000 9982 0 0 18 0 0 0 0 0 0 0 0 100 0 0 0 1.391 0.047 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed105731136.log 18393 q3-extractinstructions.txt 20150619_172808 0.5 5582f88c776839292828b25a
20150619_172803 5 1 1 300 100000 967561224 10 10000 9990 0 0 10 0 0 0 0 0 0 0 0 100 0 0 0 1.430 0.047 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed967561224.log 14490 q3-extractinstructions.txt 20150619_172811 0.5 5582f88c776839292828b25b
20150619_172805 5 1 1 300 100000 420477893 16 10000 9984 0 0 16 0 0 0 0 0 0 0 0 100 0 0 0 1.447 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed420477893.log 17216 q3-extractinstructions.txt 20150619_172812 0.5 5582f88c776839292828b25c
20150619_172807 5 1 1 300 100000 263688301 12 10000 9988 0 0 12 0 0 0 0 0 0 0 0 100 0 0 0 1.408 0.016 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed263688301.log 15272 q3-extractinstructions.txt 20150619_172814 0.5 5582f88c776839292828b25d
20150619_172810 5 1 1 300 100000 50746969 12 10000 9988 0 0 12 0 0 0 0 0 0 0 0 100 0 0 0 1.454 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed50746969.log 15462 q3-extractinstructions.txt 20150619_172817 0.5 5582f88c776839292828b25e
20150619_172812 5 1 1 300 100000 533657980 23 10000 9977 0 0 23 0 0 0 0 0 0 0 0 100 0 0 0 1.482 0.016 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed533657980.log 20821 q3-extractinstructions.txt 20150619_172819 0.5 5582f88c776839292828b25f
20150619_172814 5 1 1 300 100000 711283608 11 10000 9989 0 0 11 0 0 0 0 0 0 0 0 100 0 0 0 1.407 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed711283608.log 14784 q3-extractinstructions.txt 20150619_172821 0.5 5582f88c776839292828b260
20150619_172816 5 1 1 300 100000 597296547 11 10000 9989 0 0 11 0 0 0 0 0 0 0 0 100 0 0 0 1.448 0.032 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed597296547.log 14974 q3-extractinstructions.txt 20150619_172823 0.5 5582f88c776839292828b261
20150619_172818 5 1 1 300 100000 664375964 20 10000 9980 0 0 20 0 0 0 0 0 0 0 0 100 0 0 0 1.441 0.015 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed664375964.log 18782 q3-extractinstructions.txt 20150619_172825 0.5 5582f88c776839292828b262
20150619_172820 5 1 1 300 100000 258760793 24 10000 9976 0 0 24 0 0 0 0 0 0 0 0 100 0 0 0 1.449 0.047 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed258760793.log 21105 q3-extractinstructions.txt 20150619_172827 0.5 5582f88c776839292828b263
20150619_172822 5 1 1 300 100000 666549275 16 10000 9984 0 0 16 0 0 0 0 0 0 0 0 100 0 0 0 1.456 0.03 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed666549275.log 17415 q3-extractinstructions.txt 20150619_172829 0.5 5582f88c776839292828b264
20150619_172825 5 1 1 300 100000 376517787 10 10000 9990 0 0 10 0 0 0 0 0 0 0 0 100 0 0 0 1.397 0.016 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed376517787.log 14486 q3-extractinstructions.txt 20150619_172832 0.5 5582f88c776839292828b265
20150619_172826 5 1 1 300 100000 817713633 13 10000 9987 0 0 13 0 0 0 0 0 0 0 0 100 0 0 0 1.571 0.032 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed817713633.log 15658 q3-extractinstructions.txt 20150619_172834 0.5 5582f88c776839292828b266
20150619_172829 5 1 1 300 100000 519606501 13 10000 9987 0 0 13 0 0 0 0 0 0 0 0 100 0 0 0 1.416 0.0 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed519606501.log 15849 q3-extractinstructions.txt 20150619_172836 0.5 5582f88c776839292828b267
20150619_172831 5 1 1 300 100000 715258232 17 10000 9983 0 0 17 0 0 0 0 0 0 0 0 100 0 0 0 1.422 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed715258232.log 17590 q3-extractinstructions.txt 20150619_172838 0.5 5582f88c776839292828b268
20150619_172833 5 1 1 300 100000 792850679 12 10000 9988 0 0 12 0 0 0 0 0 0 0 0 100 0 0 0 1.380 0.031 ../q3/./log/doc5cop1shlf1lif300_af0s1tTOTAL_gf0i100d0m0_seed792850679.log 15275 q3-extractinstructions.txt 20150619_172840 0.5 5582f88c776839292828b269
20150619_173028 5 10 1 30 100000 919028296 165 10000 9835 0 0 165 0 0 0 0 0 0 0 0 100 0 0 0 5.012 2.418 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed919028296.log 90176 q3-extractinstructions.txt 20150619_173039 0.5 5582f9ea776839292835fa5d
20150619_173030 5 10 1 30 100000 103765041 162 10000 9838 0 0 162 0 0 0 0 0 0 0 0 100 0 0 0 4.448 2.168 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed103765041.log 88947 q3-extractinstructions.txt 20150619_173040 0.5 5582f9ea776839292835fa5e
20150619_173040 5 10 1 30 100000 141246882 150 10000 9850 0 0 150 0 0 0 0 0 0 0 0 100 0 0 0 3.949 1.934 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed141246882.log 83052 q3-extractinstructions.txt 20150619_173050 0.5 5582f9ea776839292835fa5f
20150619_173042 5 10 1 30 100000 681028781 186 10000 9814 0 0 186 0 0 0 0 0 0 0 0 100 0 0 0 4.355 2.231 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed681028781.log 100305 q3-extractinstructions.txt 20150619_173053 0.5 5582f9ea776839292835fa60
20150619_173044 5 10 1 30 100000 117661523 145 10000 9855 0 0 145 0 0 0 0 0 0 0 0 100 0 0 0 4.119 2.138 ../q3/./log/doc5cop1shlf10lif30_af0s1tTOTAL_gf0i100d0m0_seed117661523.log 80443 q3-extractinstructions.txt 20150619_173055 0.5 5582f9ea776839292835fa61
