timestamp docsize shelfsize copies lifem simlength seed lost docstotal docslost auditcycles auditfrequency auditsegments audittype glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime todaysdatetime
20190203_222343 50 1 5 10000 100000 616603922 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 14 128 0.250 0.195 20190203_222344
20190203_222343 50 1 5 10000 100000 751552608 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 21 140 0.257 0.201 20190203_222344
20190203_222343 50 1 5 10000 100000 862415775 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 30 144 0.265 0.207 20190203_222344
20190203_222343 50 1 5 10000 100000 160211880 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 22 136 0.509 0.404 20190203_222344
20190203_222343 50 1 5 10000 100000 790002907 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 9 18 29 142 0.523 0.416 20190203_222344
20190203_222403 50 1 5 10000 100000 391467625 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 16 137 0.500 0.394 20190203_222404
20190203_222403 50 1 5 10000 100000 133671816 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 4 8 16 132 0.495 0.394 20190203_222404
20190203_222403 50 1 5 10000 100000 105327160 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 10 20 27 143 0.498 0.404 20190203_222404
20190203_222403 50 1 5 10000 100000 601514327 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 3 6 21 138 0.489 0.398 20190203_222404
20190203_222403 50 1 5 10000 100000 993928726 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 18 141 0.512 0.400 20190203_222404
20190203_222403 50 1 5 10000 100000 257388880 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 7 14 18 140 0.504 0.398 20190203_222404
20190203_222403 50 1 5 10000 100000 480102295 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 4 8 26 141 0.542 0.416 20190203_222404
20190203_222403 50 1 5 10000 100000 364192286 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 11 22 33 140 0.535 0.425 20190203_222404
20190203_222403 50 1 5 10000 100000 880215307 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 4 8 17 139 0.505 0.379 20190203_222404
20190203_222403 50 1 5 10000 100000 209425884 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 8 16 28 140 0.532 0.437 20190203_222404
20190203_222403 50 1 5 10000 100000 521589958 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 27 143 0.528 0.424 20190203_222404
20190203_222403 50 1 5 10000 100000 106595100 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 12 24 36 145 0.529 0.433 20190203_222404
20190203_222403 50 1 5 10000 100000 761862692 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 27 144 0.525 0.416 20190203_222404
20190203_222403 50 1 5 10000 100000 221069975 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 5 10 21 147 0.522 0.404 20190203_222404
20190203_222403 50 1 5 10000 100000 808717148 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 22 137 0.518 0.407 20190203_222404
20190203_222403 50 1 5 10000 100000 822225147 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 8 16 21 137 0.513 0.399 20190203_222404
20190203_222403 50 1 5 10000 100000 631064730 0 30 0 9 10000 10 SYSTEMATIC 0 0 0 0 0 30000 10000 100 10 2 2 6 12 24 135 0.512 0.410 20190203_222404
