timestamp docsize copies lifem seed lost auditrepairs auditlosses forensics walltime cputime
20140725_105939 50 2 3 105731136 2172 21362 3978 0 62.036 50.529
20140725_105925 50 2 3 117661523 2121 21315 3889 0 64.092 50.918
20140725_105853 50 2 3 141246882 2140 21238 3920 0 56.035 51.401
20140725_110029 50 2 3 263688301 2095 21398 3842 0 56.690 50.434
20140725_105956 50 2 3 420477893 2136 21450 3917 0 55.118 50.108
20140725_110033 50 2 3 50746969 2086 21621 3848 0 63.529 50.606
20140725_110044 50 2 3 533657980 2127 21441 3882 0 57.738 51.168
20140725_105859 50 2 3 681028781 2155 21314 3906 0 56.759 50.996
20140725_105840 50 2 3 919028296 2187 21359 4018 0 58.631 51.683
20140725_105949 50 2 3 967561224 2137 21215 3936 0 54.544 50.513
20140725_110115 50 3 3 103765041 348 40168 945 5507 103.673 82.602
20140725_110221 50 3 3 105731136 344 40231 952 5464 102.450 80.512
20140725_110153 50 3 3 117661523 350 39952 946 5400 130.514 82.852
20140725_110132 50 3 3 141246882 327 39898 884 5380 112.566 82.354
20140725_110342 50 3 3 263688301 340 40276 942 5515 106.484 80.855
20140725_110309 50 3 3 420477893 355 39961 974 5404 95.659 82.26
20140725_110404 50 3 3 50746969 348 40283 932 5465 90.432 81.697
20140725_110415 50 3 3 533657980 305 40215 824 5425 108.995 82.634
20140725_110142 50 3 3 681028781 341 40108 949 5522 98.408 82.695
20140725_110052 50 3 3 919028296 361 40092 996 5396 87.219 80.699
20140725_110245 50 3 3 967561224 364 40517 996 5484 117.811 80.419
20140725_110506 50 4 3 103765041 50 54958 180 1097 128.530 108.935
20140725_110715 50 4 3 105731136 41 55531 160 1106 133.836 109.7
20140725_110605 50 4 3 117661523 41 54980 148 1086 151.717 108.888
20140725_110541 50 4 3 141246882 32 55098 112 1101 117.237 109.637
20140725_110824 50 4 3 263688301 56 54984 208 1086 142.439 108.748
20140725_110736 50 4 3 420477893 61 55305 212 1056 143.272 108.389
20140725_110900 50 4 3 50746969 45 55540 164 1088 151.934 108.686
20140725_110856 50 4 3 533657980 50 54819 188 1025 153.097 108.89
20140725_110604 50 4 3 681028781 39 55441 147 1080 140.029 109.138
20140725_110448 50 4 3 919028296 49 55267 184 1176 120.345 109.31
20140725_110736 50 4 3 967561224 47 55205 176 1084 118.300 108.437
20140725_111002 50 5 3 103765041 7 69146 30 2652 166.456 136.517
20140725_111208 50 5 3 105731136 10 69603 50 2694 194.137 137.765
20140725_111154 50 5 3 117661523 7 69662 30 2835 212.928 138.512
20140725_111020 50 5 3 141246882 5 68916 20 2625 184.817 137.92
20140725_111413 50 5 3 263688301 16 69256 75 2718 183.980 138.31
20140725_111357 50 5 3 420477893 9 69648 40 2729 213.794 138.076
20140725_111519 50 5 3 50746969 6 69972 30 2768 185.272 140.261
20140725_111547 50 5 3 533657980 6 69156 25 2647 187.959 141.29
20140725_111130 50 5 3 681028781 9 69641 45 2730 190.744 138.046
20140725_110945 50 5 3 919028296 10 69595 40 2659 210.545 137.421
