timestamp docsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost walltime cputime
20141130_145722 50 5 2 100000 50746969 69 10000 0 9995 5373 69 8 10000 1 98694 57236 6655 65 410.497 242.862
20141130_150048 50 5 2 100000 533657980 51 10000 0 9986 5281 51 8 10000 1 98963 57293 6685 47 727.528 235.031
20141130_144829 50 5 2 100000 681028781 45 10000 0 9987 5387 45 8 10000 1 99093 57412 6688 43 491.972 255.405
20141130_144354 50 5 2 100000 919028296 58 10000 0 9994 5412 58 8 10000 1 99142 57298 6727 52 434.301 240.459
20141130_145228 50 5 2 100000 967561224 51 10000 0 9986 5370 51 8 10000 1 99741 57588 6796 49 472.345 240.678
20141130_150346 50 8 2 100000 103765041 0 10000 0 10000 1481 0 8 10000 1 158553 76142 1479 0 923.717 431.701
20141130_151352 50 8 2 100000 105731136 1 10000 0 10000 1470 1 8 10000 1 158847 76275 1486 1 1095.131 434.385
20141130_151314 50 8 2 100000 117661523 0 10000 0 10000 1458 0 8 10000 1 158320 76259 1428 0 690.909 418.832
20141130_150432 50 8 2 100000 141246882 0 10000 0 10000 1418 0 8 10000 1 158339 76168 1410 0 947.537 438.175
20141130_152101 50 8 2 100000 263688301 1 10000 0 10000 1497 1 8 10000 1 159514 76392 1490 1 734.097 427.77
20141130_151925 50 8 2 100000 420477893 1 10000 0 9999 1459 1 8 10000 1 158956 76345 1470 1 922.845 462.294
20141130_152503 50 8 2 100000 50746969 1 10000 0 10000 1389 1 8 10000 1 159006 76377 1409 1 479.097 362.733
20141130_152505 50 8 2 100000 533657980 0 10000 0 10000 1438 0 8 10000 1 158325 76282 1429 0 786.116 408.302
20141130_150431 50 8 2 100000 681028781 0 10000 0 10000 1469 0 8 10000 1 158251 76220 1459 0 542.382 383.794
20141130_150116 50 8 2 100000 919028296 1 10000 0 9999 1468 1 8 10000 1 158968 76285 1459 1 750.424 428.191
20141130_151414 50 8 2 100000 967561224 0 10000 0 10000 1444 0 8 10000 1 158894 76371 1433 0 640.439 390.877
20141130_153314 50 10 2 100000 103765041 0 10000 0 10000 982 0 8 10000 1 197710 81459 961 0 762.211 554.177
20141130_154601 50 10 2 100000 105731136 0 10000 0 10000 945 0 8 10000 1 198504 81658 915 0 771.021 539.295
20141130_153837 50 10 2 100000 117661523 0 10000 0 10000 976 0 8 10000 1 197639 81434 939 0 1179.326 498.266
