file	type	total	code	comment	blank	short
../../working/PreservationSimulation/shelf/audit2.py	python	1008	390	532	86	0
../../working/PreservationSimulation/shelf/bottle.py	python	3750	2361	806	583	0
../../working/PreservationSimulation/shelf/broker.py	python	666	325	269	72	0
../../working/PreservationSimulation/shelf/brokercli.py	python	265	209	18	38	0
../../working/PreservationSimulation/shelf/brokerformat.py	python	135	67	57	11	0
../../working/PreservationSimulation/shelf/brokergetcores.py	python	67	36	17	14	0
../../working/PreservationSimulation/shelf/brokergroupform.py	python	327	141	145	41	0
../../working/PreservationSimulation/shelf/brokergroup_makeform.py	python	71	42	19	10	0
../../working/PreservationSimulation/shelf/catchex.py	python	38	18	17	3	0
../../working/PreservationSimulation/shelf/client2.py	python	234	128	84	22	0
../../working/PreservationSimulation/shelf/cliparse.py	python	282	193	48	41	0
../../working/PreservationSimulation/shelf/collection.py	python	224	142	59	23	0
../../working/PreservationSimulation/shelf/command.py	python	65	33	21	11	0
../../working/PreservationSimulation/shelf/datacleanup.py	python	237	136	67	34	0
../../working/PreservationSimulation/shelf/dbclearcollection.py	python	87	44	28	15	0
../../working/PreservationSimulation/shelf/dbdeletedatabase.py	python	81	35	32	14	0
../../working/PreservationSimulation/shelf/dbdumpcollection.py	python	94	43	35	16	0
../../working/PreservationSimulation/shelf/dbdumpdonekeys.py	python	108	56	36	16	0
../../working/PreservationSimulation/shelf/dblistcollections.py	python	83	37	32	14	0
../../working/PreservationSimulation/shelf/dblistdatabases.py	python	21	7	12	2	0
../../working/PreservationSimulation/shelf/doccopy.py	python	73	44	13	16	0
../../working/PreservationSimulation/shelf/document.py	python	227	131	72	24	0
../../working/PreservationSimulation/shelf/dumpparams.py	python	115	67	34	14	0
../../working/PreservationSimulation/shelf/dumpuse.py	python	155	112	25	18	0
../../working/PreservationSimulation/shelf/extractcpuinfo.py	python	77	46	18	13	0
../../working/PreservationSimulation/shelf/extractvalues2.py	python	375	168	164	43	0
../../working/PreservationSimulation/shelf/fib.py	python	17	11	2	4	0
../../working/PreservationSimulation/shelf/filelock.py	python	82	39	30	13	0
../../working/PreservationSimulation/shelf/getcliargs.py	python	219	118	67	34	0
../../working/PreservationSimulation/shelf/getparams.py	python	120	58	44	18	0
../../working/PreservationSimulation/shelf/globaldata.py	python	225	117	78	30	0
../../working/PreservationSimulation/shelf/lifetime.py	python	351	199	126	26	0
../../working/PreservationSimulation/shelf/listactor.py	python	184	88	74	22	0
../../working/PreservationSimulation/shelf/logoutput.py	python	114	47	53	14	0
../../working/PreservationSimulation/shelf/main.py	python	367	83	250	34	0
../../working/PreservationSimulation/shelf/mainsimform.py	python	229	121	79	29	0
../../working/PreservationSimulation/shelf/makethings.py	python	88	56	21	11	0
../../working/PreservationSimulation/shelf/mongolib.py	python	214	84	106	24	0
../../working/PreservationSimulation/shelf/monkeypatch.py	python	6	1	3	2	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/expandtemplate.py	python	205	77	113	15	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/fib.py	python	17	11	2	4	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/instfilter.py	python	287	148	107	32	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/loadintodb.py	python	121	59	44	18	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/memoize.py	python	19	10	8	1	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/mongolib.py	python	229	90	114	25	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/NewTraceFac.py	python	412	143	246	23	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/test/fib.py	python	17	11	2	4	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/test/slow.py	python	12	8	1	3	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/testhl3.py	python	39	17	19	3	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/test_instfilter.py	python	63	39	14	10	0
../../working/PreservationSimulation/shelf/newinstructions-OLDDONOTUSE/useinstfilter.py	python	129	79	32	18	0
../../working/PreservationSimulation/shelf/NewTraceFac.py	python	497	175	296	26	0
../../working/PreservationSimulation/shelf/NewTraceFac11.py	python	412	143	246	23	0
../../working/PreservationSimulation/shelf/NewTraceFac12.py	python	437	152	261	24	0
../../working/PreservationSimulation/shelf/NewTraceFac13.py	python	493	173	292	28	0
../../working/PreservationSimulation/shelf/NewTraceFac14.py	python	497	175	296	26	0
../../working/PreservationSimulation/shelf/readin.py	python	121	74	33	14	0
../../working/PreservationSimulation/shelf/repair.py	python	70	14	46	10	0
../../working/PreservationSimulation/shelf/resettabletimer.py	python	323	158	137	28	0
../../working/PreservationSimulation/shelf/runsequence.py	python	277	152	98	27	0
../../working/PreservationSimulation/shelf/searchdatabase.py	python	70	46	10	14	0
../../working/PreservationSimulation/shelf/searchdatabasemongo.py	python	137	86	30	21	0
../../working/PreservationSimulation/shelf/searchlib.py	python	312	120	164	28	0
../../working/PreservationSimulation/shelf/searchspace.py	python	381	171	187	23	0
../../working/PreservationSimulation/shelf/server.py	python	402	217	151	34	0
../../working/PreservationSimulation/shelf/shelf.py	python	508	334	132	42	0
../../working/PreservationSimulation/shelf/shock-OLD.py	python	370	167	180	23	0
../../working/PreservationSimulation/shelf/shock.py	python	386	177	186	23	0
../../working/PreservationSimulation/shelf/simpypatch1.py	python	44	19	16	9	0
../../working/PreservationSimulation/shelf/testtimer1.py	python	144	100	20	24	0
../../working/PreservationSimulation/shelf/util.py	python	229	86	116	27	0
../../working/PreservationSimulation/shelf/views/d5.py	python	37	28	3	6	0
../../working/PreservationSimulation/shelf/views/t8.py	python	42	31	2	9	0
../../working/PreservationSimulation/shelf/__init__.py	python	1	0	1	0	0
../../working/PreservationSimulation/shelf/AWS_shelf_installscript.sh	sh/perl/r	291	170	103	18	0
../../working/PreservationSimulation/shelf/dbcleardone.sh	sh/perl/r	23	14	6	3	0
../../working/PreservationSimulation/shelf/debug/loff.sh	sh/perl/r	1	1	0	0	0
../../working/PreservationSimulation/shelf/debug/lon.sh	sh/perl/r	1	1	0	0	0
../../working/PreservationSimulation/shelf/debug/lond.sh	sh/perl/r	1	1	0	0	0
../../working/PreservationSimulation/shelf/debug/lone.sh	sh/perl/r	1	1	0	0	0
../../working/PreservationSimulation/shelf/debug/tfailonly.sh	sh/perl/r	2	2	0	0	0
../../working/PreservationSimulation/shelf/debug/toff.sh	sh/perl/r	2	2	0	0	0
../../working/PreservationSimulation/shelf/debug/ton.sh	sh/perl/r	2	1	0	1	0
