family specific logfilename docsize berid copies lost
../q1 v3d50 logb0003/c02b0003s967561224.log:20140716_002446 50 0003 02 2137
../q1 v3d50 logb0003/c03b0003s103765041.log:20140716_002624 50 0003 03 348
../q1 v3d50 logb0003/c03b0003s105731136.log:20140716_002733 50 0003 03 344
../q1 v3d50 logb0003/c03b0003s117661523.log:20140716_002709 50 0003 03 350
../q1 v3d50 logb0003/c03b0003s141246882.log:20140716_002633 50 0003 03 327
../q1 v3d50 logb0003/c03b0003s263688301.log:20140716_002819 50 0003 03 340
../q1 v3d50 logb0003/c03b0003s420477893.log:20140716_002749 50 0003 03 355
../q1 v3d50 logb0003/c03b0003s50746969.log:20140716_002843 50 0003 03 348
../q1 v3d50 logb0003/c03b0003s533657980.log:20140716_002855 50 0003 03 305
../q1 v3d50 logb0003/c03b0003s681028781.log:20140716_002639 50 0003 03 341
../q1 v3d50 logb0003/c03b0003s919028296.log:20140716_002601 50 0003 03 361
../q1 v3d50 logb0003/c03b0003s967561224.log:20140716_002745 50 0003 03 364
../q1 v3d50 logb0003/c04b0003s103765041.log:20140716_002953 50 0003 04 50
../q1 v3d50 logb0003/c04b0003s105731136.log:20140716_003125 50 0003 04 41
../q1 v3d50 logb0003/c04b0003s117661523.log:20140716_003057 50 0003 04 41
../q1 v3d50 logb0003/c04b0003s141246882.log:20140716_003017 50 0003 04 32
../q1 v3d50 logb0003/c04b0003s263688301.log:20140716_003231 50 0003 04 56
../q1 v3d50 logb0003/c04b0003s420477893.log:20140716_003204 50 0003 04 61
../q1 v3d50 logb0003/c04b0003s50746969.log:20140716_003258 50 0003 04 45
../q1 v3d50 logb0003/c04b0003s533657980.log:20140716_003335 50 0003 04 50
../q1 v3d50 logb0003/c04b0003s681028781.log:20140716_003031 50 0003 04 39
../q1 v3d50 logb0003/c04b0003s919028296.log:20140716_002924 50 0003 04 49
../q1 v3d50 logb0003/c04b0003s967561224.log:20140716_003151 50 0003 04 47
../q1 v3d50 logb0003/c05b0003s103765041.log:20140716_003446 50 0003 05 7
../q1 v3d50 logb0003/c05b0003s105731136.log:20140716_003622 50 0003 05 10
../q1 v3d50 logb0003/c05b0003s117661523.log:20140716_003623 50 0003 05 7
../q1 v3d50 logb0003/c05b0003s141246882.log:20140716_003437 50 0003 05 5
../q1 v3d50 logb0003/c05b0003s263688301.log:20140716_003852 50 0003 05 16
../q1 v3d50 logb0003/c05b0003s420477893.log:20140716_003649 50 0003 05 9
../q1 v3d50 logb0003/c05b0003s50746969.log:20140716_003823 50 0003 05 6
../q1 v3d50 logb0003/c05b0003s533657980.log:20140716_003831 50 0003 05 6
../q1 v3d50 logb0003/c05b0003s681028781.log:20140716_003538 50 0003 05 9
../q1 v3d50 logb0003/c05b0003s919028296.log:20140716_003404 50 0003 05 10
../q1 v3d50 logb0003/c05b0003s967561224.log:20140716_003713 50 0003 05 8
../q1 v3d50 logb0003/c08b0003s103765041.log:20140716_004020 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s105731136.log:20140716_004419 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s117661523.log:20140716_004218 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s141246882.log:20140716_004240 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s263688301.log:20140716_004612 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s420477893.log:20140716_004734 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s50746969.log:20140716_004856 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s533657980.log:20140716_004729 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s681028781.log:20140716_004334 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s919028296.log:20140716_004151 50 0003 08 0
../q1 v3d50 logb0003/c08b0003s967561224.log:20140716_004422 50 0003 08 0
../q1 v3d50 logb0003/c10b0003s103765041.log:20140716_004924 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s105731136.log:20140716_005601 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s117661523.log:20140716_005316 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s141246882.log:20140716_005146 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s263688301.log:20140716_005658 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s420477893.log:20140716_005657 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s50746969.log:20140716_005729 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s533657980.log:20140716_005820 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s681028781.log:20140716_005214 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s919028296.log:20140716_005027 50 0003 10 0
../q1 v3d50 logb0003/c10b0003s967561224.log:20140716_005403 50 0003 10 0
../q1 v3d50 logb0005/c01b0005s103765041.log:20140715_234427 50 0005 01 6273
../q1 v3d50 logb0005/c01b0005s105731136.log:20140715_234452 50 0005 01 6388
../q1 v3d50 logb0005/c01b0005s117661523.log:20140715_234447 50 0005 01 6274
../q1 v3d50 logb0005/c01b0005s141246882.log:20140715_234435 50 0005 01 6283
../q1 v3d50 logb0005/c01b0005s263688301.log:20140715_234510 50 0005 01 6369
../q1 v3d50 logb0005/c01b0005s420477893.log:20140715_234504 50 0005 01 6331
../q1 v3d50 logb0005/c01b0005s50746969.log:20140715_234515 50 0005 01 6336
../q1 v3d50 logb0005/c01b0005s533657980.log:20140715_234520 50 0005 01 6332
../q1 v3d50 logb0005/c01b0005s681028781.log:20140715_234442 50 0005 01 6317
../q1 v3d50 logb0005/c01b0005s919028296.log:20140715_234422 50 0005 01 6322
../q1 v3d50 logb0005/c01b0005s967561224.log:20140715_234459 50 0005 01 6347
../q1 v3d50 logb0005/c02b0005s103765041.log:20140715_234548 50 0005 02 899
../q1 v3d50 logb0005/c02b0005s105731136.log:20140715_234617 50 0005 02 832
../q1 v3d50 logb0005/c02b0005s117661523.log:20140715_234612 50 0005 02 873
../q1 v3d50 logb0005/c02b0005s141246882.log:20140715_234553 50 0005 02 874
../q1 v3d50 logb0005/c02b0005s263688301.log:20140715_234641 50 0005 02 870
../q1 v3d50 logb0005/c02b0005s420477893.log:20140715_234628 50 0005 02 890
../q1 v3d50 logb0005/c02b0005s50746969.log:20140715_234645 50 0005 02 843
../q1 v3d50 logb0005/c02b0005s533657980.log:20140715_234651 50 0005 02 878
../q1 v3d50 logb0005/c02b0005s681028781.log:20140715_234559 50 0005 02 902
../q1 v3d50 logb0005/c02b0005s919028296.log:20140715_234542 50 0005 02 877
../q1 v3d50 logb0005/c02b0005s967561224.log:20140715_234622 50 0005 02 792
../q1 v3d50 logb0005/c03b0005s103765041.log:20140715_234725 50 0005 03 75
../q1 v3d50 logb0005/c03b0005s105731136.log:20140715_234809 50 0005 03 86
../q1 v3d50 logb0005/c03b0005s117661523.log:20140715_234755 50 0005 03 78
../q1 v3d50 logb0005/c03b0005s141246882.log:20140715_234729 50 0005 03 88
../q1 v3d50 logb0005/c03b0005s263688301.log:20140715_234841 50 0005 03 99
../q1 v3d50 logb0005/c03b0005s420477893.log:20140715_234818 50 0005 03 87
../q1 v3d50 logb0005/c03b0005s50746969.log:20140715_234853 50 0005 03 86
../q1 v3d50 logb0005/c03b0005s533657980.log:20140715_234902 50 0005 03 73
../q1 v3d50 logb0005/c03b0005s681028781.log:20140715_234735 50 0005 03 93
../q1 v3d50 logb0005/c03b0005s919028296.log:20140715_234712 50 0005 03 92
../q1 v3d50 logb0005/c03b0005s967561224.log:20140715_234814 50 0005 03 78
../q1 v3d50 logb0005/c04b0005s103765041.log:20140715_234948 50 0005 04 4
../q1 v3d50 logb0005/c04b0005s105731136.log:20140715_235039 50 0005 04 5
../q1 v3d50 logb0005/c04b0005s117661523.log:20140715_235013 50 0005 04 3
../q1 v3d50 logb0005/c04b0005s141246882.log:20140715_234941 50 0005 04 9
../q1 v3d50 logb0005/c04b0005s263688301.log:20140715_235112 50 0005 04 4
../q1 v3d50 logb0005/c04b0005s420477893.log:20140715_235100 50 0005 04 4
../q1 v3d50 logb0005/c04b0005s50746969.log:20140715_235136 50 0005 04 4
../q1 v3d50 logb0005/c04b0005s533657980.log:20140715_235137 50 0005 04 9
../q1 v3d50 logb0005/c04b0005s681028781.log:20140715_235003 50 0005 04 10
../q1 v3d50 logb0005/c04b0005s919028296.log:20140715_234919 50 0005 04 8
../q1 v3d50 logb0005/c04b0005s967561224.log:20140715_235036 50 0005 04 5
../q1 v3d50 logb0005/c05b0005s103765041.log:20140715_235226 50 0005 05 3
../q1 v3d50 logb0005/c05b0005s105731136.log:20140715_235338 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s117661523.log:20140715_235328 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s141246882.log:20140715_235250 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s263688301.log:20140715_235431 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s420477893.log:20140715_235411 50 0005 05 0
../q1 v3d50 logb0005/c05b0005s50746969.log:20140715_235450 50 0005 05 0
../q1 v3d50 logb0005/c05b0005s533657980.log:20140716_001144 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s681028781.log:20140715_235254 50 0005 05 1
../q1 v3d50 logb0005/c05b0005s919028296.log:20140715_235215 50 0005 05 0
../q1 v3d50 logb0005/c05b0005s967561224.log:20140715_235403 50 0005 05 0
../q1 v3d50 logb0005/c08b0005s103765041.log:20140716_001535 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s105731136.log:20140716_001732 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s117661523.log:20140716_001629 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s141246882.log:20140716_001621 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s263688301.log:20140716_001853 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s420477893.log:20140716_001817 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s50746969.log:20140716_001848 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s533657980.log:20140716_001949 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s681028781.log:20140716_001546 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s919028296.log:20140716_001600 50 0005 08 0
../q1 v3d50 logb0005/c08b0005s967561224.log:20140716_001821 50 0005 08 0
../q1 v3d50 logb0010/c01b0010s103765041.log:20140715_233648 50 0010 01 3919
../q1 v3d50 logb0010/c01b0010s105731136.log:20140715_233709 50 0010 01 3882
../q1 v3d50 logb0010/c01b0010s117661523.log:20140715_233704 50 0010 01 3950
../q1 v3d50 logb0010/c01b0010s141246882.log:20140715_233654 50 0010 01 3887
../q1 v3d50 logb0010/c01b0010s263688301.log:20140715_233724 50 0010 01 3899
../q1 v3d50 logb0010/c01b0010s420477893.log:20140715_233719 50 0010 01 3961
../q1 v3d50 logb0010/c01b0010s50746969.log:20140715_233729 50 0010 01 3913
../q1 v3d50 logb0010/c01b0010s533657980.log:20140715_233735 50 0010 01 3953
../q1 v3d50 logb0010/c01b0010s681028781.log:20140715_233659 50 0010 01 3947
../q1 v3d50 logb0010/c01b0010s919028296.log:20140715_233644 50 0010 01 3948
../q1 v3d50 logb0010/c01b0010s967561224.log:20140715_233714 50 0010 01 3948
../q1 v3d50 logb0010/c02b0010s103765041.log:20140715_233755 50 0010 02 249
../q1 v3d50 logb0010/c02b0010s105731136.log:20140715_233817 50 0010 02 242
../q1 v3d50 logb0010/c02b0010s117661523.log:20140715_233811 50 0010 02 248
../q1 v3d50 logb0010/c02b0010s141246882.log:20140715_233801 50 0010 02 213
../q1 v3d50 logb0010/c02b0010s263688301.log:20140715_233834 50 0010 02 213
../q1 v3d50 logb0010/c02b0010s420477893.log:20140715_233829 50 0010 02 236
../q1 v3d50 logb0010/c02b0010s50746969.log:20140715_233839 50 0010 02 219
../q1 v3d50 logb0010/c02b0010s533657980.log:20140715_233844 50 0010 02 231
../q1 v3d50 logb0010/c02b0010s681028781.log:20140715_233806 50 0010 02 223
../q1 v3d50 logb0010/c02b0010s919028296.log:20140715_233748 50 0010 02 237
../q1 v3d50 logb0010/c02b0010s967561224.log:20140715_233821 50 0010 02 221
../q1 v3d50 logb0010/c03b0010s103765041.log:20140715_233904 50 0010 03 6
../q1 v3d50 logb0010/c03b0010s105731136.log:20140715_233929 50 0010 03 9
../q1 v3d50 logb0010/c03b0010s117661523.log:20140715_233926 50 0010 03 11
../q1 v3d50 logb0010/c03b0010s141246882.log:20140715_233909 50 0010 03 14
../q1 v3d50 logb0010/c03b0010s263688301.log:20140715_233953 50 0010 03 12
../q1 v3d50 logb0010/c03b0010s420477893.log:20140715_233940 50 0010 03 12
../q1 v3d50 logb0010/c03b0010s50746969.log:20140715_233957 50 0010 03 15
../q1 v3d50 logb0010/c03b0010s533657980.log:20140715_234003 50 0010 03 3
../q1 v3d50 logb0010/c03b0010s681028781.log:20140715_233915 50 0010 03 14
../q1 v3d50 logb0010/c03b0010s919028296.log:20140715_233859 50 0010 03 13
../q1 v3d50 logb0010/c03b0010s967561224.log:20140715_233935 50 0010 03 10
../q1 v3d50 logb0010/c04b0010s103765041.log:20140715_234028 50 0010 04 1
../q1 v3d50 logb0010/c04b0010s105731136.log:20140715_234101 50 0010 04 0
../q1 v3d50 logb0010/c04b0010s117661523.log:20140715_234049 50 0010 04 0
../q1 v3d50 logb0010/c04b0010s141246882.log:20140715_234032 50 0010 04 0
../q1 v3d50 logb0010/c04b0010s263688301.log:20140715_234122 50 0010 04 1
../q1 v3d50 logb0010/c04b0010s420477893.log:20140715_234111 50 0010 04 1
../q1 v3d50 logb0010/c04b0010s50746969.log:20140715_234134 50 0010 04 1
../q1 v3d50 logb0010/c04b0010s533657980.log:20140715_234138 50 0010 04 2
../q1 v3d50 logb0010/c04b0010s681028781.log:20140715_234038 50 0010 04 1
../q1 v3d50 logb0010/c04b0010s919028296.log:20140715_234016 50 0010 04 3
../q1 v3d50 logb0010/c04b0010s967561224.log:20140715_234105 50 0010 04 0
../q1 v3d50 logb0010/c05b0010s103765041.log:20140715_234204 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s105731136.log:20140715_234245 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s117661523.log:20140715_234241 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s141246882.log:20140715_234215 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s263688301.log:20140715_234322 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s420477893.log:20140715_234301 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s50746969.log:20140715_234327 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s533657980.log:20140715_234337 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s681028781.log:20140715_234220 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s919028296.log:20140715_234153 50 0010 05 0
../q1 v3d50 logb0010/c05b0010s967561224.log:20140715_234257 50 0010 05 0
../q1 v3d50 logb0020/c01b0020s103765041.log:20140715_232255 50 0020 01 2215
../q1 v3d50 logb0020/c01b0020s105731136.log:20140715_232319 50 0020 01 2156
../q1 v3d50 logb0020/c01b0020s117661523.log:20140715_232315 50 0020 01 2215
../q1 v3d50 logb0020/c01b0020s141246882.log:20140715_232259 50 0020 01 2160
../q1 v3d50 logb0020/c01b0020s263688301.log:20140715_232338 50 0020 01 2235
../q1 v3d50 logb0020/c01b0020s420477893.log:20140715_232335 50 0020 01 2224
../q1 v3d50 logb0020/c01b0020s50746969.log:20140715_232348 50 0020 01 2240
../q1 v3d50 logb0020/c01b0020s533657980.log:20140715_232352 50 0020 01 2185
../q1 v3d50 logb0020/c01b0020s681028781.log:20140715_232311 50 0020 01 2199
../q1 v3d50 logb0020/c01b0020s919028296.log:20140715_232244 50 0020 01 2245
../q1 v3d50 logb0020/c01b0020s967561224.log:20140715_232323 50 0020 01 2256
../q1 v3d50 logb0020/c02b0020s103765041.log:20140715_232420 50 0020 02 58
../q1 v3d50 logb0020/c02b0020s105731136.log:20140715_232445 50 0020 02 65
../q1 v3d50 logb0020/c02b0020s117661523.log:20140715_232439 50 0020 02 55
../q1 v3d50 logb0020/c02b0020s141246882.log:20140715_232428 50 0020 02 68
../q1 v3d50 logb0020/c02b0020s263688301.log:20140715_232507 50 0020 02 54
../q1 v3d50 logb0020/c02b0020s420477893.log:20140715_232500 50 0020 02 69
../q1 v3d50 logb0020/c02b0020s50746969.log:20140715_232514 50 0020 02 66
../q1 v3d50 logb0020/c02b0020s533657980.log:20140715_232522 50 0020 02 68
../q1 v3d50 logb0020/c02b0020s681028781.log:20140715_232433 50 0020 02 50
../q1 v3d50 logb0020/c02b0020s919028296.log:20140715_232414 50 0020 02 53
../q1 v3d50 logb0020/c02b0020s967561224.log:20140715_232458 50 0020 02 60
../q1 v3d50 logb0020/c03b0020s103765041.log:20140715_232548 50 0020 03 0
../q1 v3d50 logb0020/c03b0020s105731136.log:20140715_232624 50 0020 03 2
../q1 v3d50 logb0020/c03b0020s117661523.log:20140715_232626 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s141246882.log:20140715_232601 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s263688301.log:20140715_232659 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s420477893.log:20140715_232638 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s50746969.log:20140715_232701 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s533657980.log:20140715_232711 50 0020 03 0
../q1 v3d50 logb0020/c03b0020s681028781.log:20140715_232605 50 0020 03 1
../q1 v3d50 logb0020/c03b0020s919028296.log:20140715_232540 50 0020 03 3
../q1 v3d50 logb0020/c03b0020s967561224.log:20140715_232633 50 0020 03 4
../q1 v3d50 logb0020/c04b0020s103765041.log:20140715_232749 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s105731136.log:20140715_232833 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s117661523.log:20140715_232825 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s141246882.log:20140715_232754 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s263688301.log:20140715_232914 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s420477893.log:20140715_232846 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s50746969.log:20140715_232917 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s533657980.log:20140715_232931 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s681028781.log:20140715_232802 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s919028296.log:20140715_232740 50 0020 04 0
../q1 v3d50 logb0020/c04b0020s967561224.log:20140715_232841 50 0020 04 0
../q1 v3d50 logb0020/c05b0020s103765041.log:20140715_233009 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s105731136.log:20140715_233116 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s117661523.log:20140715_233048 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s141246882.log:20140715_233013 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s263688301.log:20140715_233143 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s420477893.log:20140715_233129 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s50746969.log:20140715_233218 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s533657980.log:20140715_233218 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s681028781.log:20140715_233033 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s919028296.log:20140715_232951 50 0020 05 0
../q1 v3d50 logb0020/c05b0020s967561224.log:20140715_233119 50 0020 05 0
