file	type	total	code	comment	blank	short
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/audit2.py	py	1008	373	532	103	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/bottle.py	py	3750	2310	799	641	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/broker.py	py	712	363	278	71	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/brokercli.py	py	265	209	18	38	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/brokergroupform.py	py	267	114	108	45	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/catchex.py	py	38	18	17	3	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/client2.py	py	234	125	84	25	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/cliparse.py	py	282	193	48	41	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/collection.py	py	224	141	59	24	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/command.py	py	65	33	21	11	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/datacleanup.py	py	235	132	69	34	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dbclearcollection.py	py	87	42	28	17	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dbdeletedatabase.py	py	81	33	32	16	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dbdumpcollection.py	py	94	41	35	18	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dbdumpdonekeys.py	py	108	54	36	18	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dblistcollections.py	py	83	35	32	16	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dblistdatabases.py	py	21	5	12	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/doccopy.py	py	73	44	13	16	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/document.py	py	227	129	72	26	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dumpparams.py	py	114	67	33	14	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/dumpuse.py	py	153	111	24	18	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/extractvalues2.py	py	367	158	159	50	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/fib.py	py	17	11	2	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/filelock.py	py	82	39	30	13	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/getcliargs.py	py	219	118	67	34	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/getparams.py	py	120	58	44	18	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/globaldata.py	py	225	116	78	31	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/lifetime.py	py	349	197	124	28	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/listactor.py	py	184	85	74	25	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/logoutput.py	py	114	47	53	14	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/main.py	py	367	70	250	47	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/mainsimform.py	py	229	116	79	34	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/makethings.py	py	88	56	21	11	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/mongolib.py	py	214	74	106	34	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/monkeypatch.py	py	6	1	3	2	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/expandtemplate.py	py	205	67	113	25	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/fib.py	py	17	11	2	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/instfilter.py	py	287	138	107	42	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/loadintodb.py	py	121	56	44	21	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/makeinstructionfromdict-00.py	py	8	0	4	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/memoize.py	py	19	10	8	1	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/mongolib.py	py	229	80	114	35	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/NewTraceFac.py	py	412	124	246	42	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/test/fib.py	py	17	11	2	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/test/slow.py	py	12	8	1	3	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/testhl3.py	py	39	23	12	4	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/test_instfilter.py	py	63	39	14	10	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/newinstructions/useinstfilter.py	py	129	79	32	18	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/NewTraceFac.py	py	496	155	295	46	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/NewTraceFac11.py	py	412	124	246	42	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/NewTraceFac12.py	py	437	133	261	43	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/NewTraceFac13.py	py	493	153	292	48	0
/cygdrive/c/cygwin64/home/landau/working/PreservationSimulation/shelf/NewTraceFac14.py	py	496	155	295	46	0
