timestamp docsize copies lifem seed lost auditinterval auditrepairs auditlosses auditforensics ndocs nokay nmajority nminority walltime cputime logfilename
20140809_151513 50 14 2 919028296 2994 0 0 0 0 10000 0 1 7005 449.495 394.542 ../Q0b/v4d50/logb0002/c14d50b0002s919028296.log
20140809_152251 50 14 2 967561224 3069 0 0 0 0 10000 0 1 6930 442.567 394.604 ../Q0b/v4d50/logb0002/c14d50b0002s967561224.log
20140809_153235 50 16 2 103765041 2478 0 0 0 0 10000 0 0 7522 546.241 451.561 ../Q0b/v4d50/logb0002/c16d50b0002s103765041.log
20140809_154206 50 16 2 105731136 2484 0 0 0 0 10000 0 0 7516 561.351 454.432 ../Q0b/v4d50/logb0002/c16d50b0002s105731136.log
20140809_153839 50 16 2 117661523 2566 0 0 0 0 10000 0 0 7434 647.215 462.2 ../Q0b/v4d50/logb0002/c16d50b0002s117661523.log
20140809_153239 50 16 2 141246882 2556 0 0 0 0 10000 0 0 7444 553.045 452.901 ../Q0b/v4d50/logb0002/c16d50b0002s141246882.log
20140809_154626 50 16 2 263688301 2498 0 0 0 0 10000 0 0 7502 562.345 450.796 ../Q0b/v4d50/logb0002/c16d50b0002s263688301.log
20140809_154250 50 16 2 420477893 2511 0 0 0 0 10000 0 0 7489 837.574 492.854 ../Q0b/v4d50/logb0002/c16d50b0002s420477893.log
20140809_155004 50 16 2 50746969 2497 0 0 0 0 10000 0 0 7503 912.633 458.955 ../Q0b/v4d50/logb0002/c16d50b0002s50746969.log
20140809_155135 50 16 2 533657980 2488 0 0 0 0 10000 0 0 7512 938.066 452.153 ../Q0b/v4d50/logb0002/c16d50b0002s533657980.log
20140809_153418 50 16 2 681028781 2434 0 0 0 0 10000 0 0 7566 1035.308 488.142 ../Q0b/v4d50/logb0002/c16d50b0002s681028781.log
20140809_153058 50 16 2 919028296 2588 0 0 0 0 10000 0 0 7412 889.866 472.574 ../Q0b/v4d50/logb0002/c16d50b0002s919028296.log
20140809_154220 50 16 2 967561224 2514 0 0 0 0 10000 0 0 7486 532.211 452.294 ../Q0b/v4d50/logb0002/c16d50b0002s967561224.log
20140809_155246 50 20 2 103765041 1816 0 0 0 0 10000 0 0 8184 1213.270 564.583 ../Q0b/v4d50/logb0002/c20d50b0002s103765041.log
20140809_160540 50 20 2 105731136 1721 0 0 0 0 10000 0 0 8279 1330.107 635.08 ../Q0b/v4d50/logb0002/c20d50b0002s105731136.log
20140809_160417 50 20 2 117661523 1856 0 0 0 0 10000 0 0 8144 626.490 561.993 ../Q0b/v4d50/logb0002/c20d50b0002s117661523.log
20140809_155611 50 20 2 141246882 1734 0 0 0 0 10000 0 0 8266 648.779 564.88 ../Q0b/v4d50/logb0002/c20d50b0002s141246882.log
20140809_161020 50 20 2 263688301 1841 0 0 0 0 10000 0 0 8159 609.466 563.929 ../Q0b/v4d50/logb0002/c20d50b0002s263688301.log
20140809_160725 50 20 2 420477893 1764 0 0 0 0 10000 0 0 8236 897.100 564.754 ../Q0b/v4d50/logb0002/c20d50b0002s420477893.log
20140809_161320 50 20 2 50746969 1734 0 0 0 0 10000 0 0 8266 632.435 562.321 ../Q0b/v4d50/logb0002/c20d50b0002s50746969.log
20140809_161518 50 20 2 533657980 1772 0 0 0 0 10000 0 0 8228 771.695 561.604 ../Q0b/v4d50/logb0002/c20d50b0002s533657980.log
20140809_155720 50 20 2 681028781 1803 0 0 0 0 10000 0 0 8197 749.065 599.106 ../Q0b/v4d50/logb0002/c20d50b0002s681028781.log
20140809_155223 50 20 2 919028296 1790 0 0 0 0 10000 0 0 8210 662.439 588.39 ../Q0b/v4d50/logb0002/c20d50b0002s919028296.log
20140809_160722 50 20 2 967561224 1845 0 0 0 0 10000 0 0 8155 1283.409 629.105 ../Q0b/v4d50/logb0002/c20d50b0002s967561224.log
20140809_140458 50 1 3 103765041 8099 0 0 0 0 10000 1901 0 0 49.497 18.907 ../Q0b/v4d50/logb0003/c01d50b0003s103765041.log
20140809_140702 50 1 3 105731136 8115 0 0 0 0 10000 1885 0 0 20.333 18.455 ../Q0b/v4d50/logb0003/c01d50b0003s105731136.log
20140809_140635 50 1 3 117661523 8089 0 0 0 0 10000 1911 0 0 23.776 18.471 ../Q0b/v4d50/logb0003/c01d50b0003s117661523.log
20140809_140530 50 1 3 141246882 8088 0 0 0 0 10000 1912 0 0 29.968 18.596 ../Q0b/v4d50/logb0003/c01d50b0003s141246882.log
20140809_140732 50 1 3 263688301 8047 0 0 0 0 10000 1953 0 0 29.242 18.502 ../Q0b/v4d50/logb0003/c01d50b0003s263688301.log
20140809_140723 50 1 3 420477893 8118 0 0 0 0 10000 1882 0 0 21.770 18.627 ../Q0b/v4d50/logb0003/c01d50b0003s420477893.log
20140809_140739 50 1 3 50746969 8115 0 0 0 0 10000 1885 0 0 26.179 18.533 ../Q0b/v4d50/logb0003/c01d50b0003s50746969.log
20140809_140756 50 1 3 533657980 8047 0 0 0 0 10000 1953 0 0 20.301 18.439 ../Q0b/v4d50/logb0003/c01d50b0003s533657980.log
20140809_140607 50 1 3 681028781 8169 0 0 0 0 10000 1831 0 0 31.972 18.517 ../Q0b/v4d50/logb0003/c01d50b0003s681028781.log
20140809_140429 50 1 3 919028296 8102 0 0 0 0 10000 1898 0 0 28.129 18.471 ../Q0b/v4d50/logb0003/c01d50b0003s919028296.log
20140809_140718 50 1 3 967561224 8053 0 0 0 0 10000 1947 0 0 20.538 18.455 ../Q0b/v4d50/logb0003/c01d50b0003s967561224.log
20140809_140804 50 2 3 103765041 6510 0 0 0 0 10000 365 3125 0 40.037 37.393 ../Q0b/v4d50/logb0003/c02d50b0003s103765041.log
20140809_140857 50 2 3 105731136 6570 0 0 0 0 10000 348 3082 0 39.790 37.44 ../Q0b/v4d50/logb0003/c02d50b0003s105731136.log
20140809_140845 50 2 3 117661523 6499 0 0 0 0 10000 404 3097 0 39.921 37.284 ../Q0b/v4d50/logb0003/c02d50b0003s117661523.log
20140809_140817 50 2 3 141246882 6566 0 0 0 0 10000 366 3068 0 39.768 37.456 ../Q0b/v4d50/logb0003/c02d50b0003s141246882.log
20140809_140938 50 2 3 263688301 6624 0 0 0 0 10000 334 3042 0 40.496 37.752 ../Q0b/v4d50/logb0003/c02d50b0003s263688301.log
20140809_140926 50 2 3 420477893 6602 0 0 0 0 10000 309 3089 0 40.244 37.612 ../Q0b/v4d50/logb0003/c02d50b0003s420477893.log
20140809_141000 50 2 3 50746969 6635 0 0 0 0 10000 343 3022 0 40.588 37.471 ../Q0b/v4d50/logb0003/c02d50b0003s50746969.log
20140809_141006 50 2 3 533657980 6581 0 0 0 0 10000 354 3065 0 39.421 37.315 ../Q0b/v4d50/logb0003/c02d50b0003s533657980.log
20140809_140839 50 2 3 681028781 6624 0 0 0 0 10000 339 3037 0 40.105 37.55 ../Q0b/v4d50/logb0003/c02d50b0003s681028781.log
20140809_140759 50 2 3 919028296 6526 0 0 0 0 10000 366 3108 0 39.807 37.362 ../Q0b/v4d50/logb0003/c02d50b0003s919028296.log
20140809_140920 50 2 3 967561224 6534 0 0 0 0 10000 336 3130 0 40.531 37.736 ../Q0b/v4d50/logb0003/c02d50b0003s967561224.log
20140809_141041 50 3 3 103765041 5279 0 0 0 0 10000 46 902 3773 60.764 56.441 ../Q0b/v4d50/logb0003/c03d50b0003s103765041.log
20140809_141147 50 3 3 105731136 5349 0 0 0 0 10000 71 871 3709 70.245 56.442 ../Q0b/v4d50/logb0003/c03d50b0003s105731136.log
20140809_141128 50 3 3 117661523 5298 0 0 0 0 10000 85 899 3718 73.887 56.643 ../Q0b/v4d50/logb0003/c03d50b0003s117661523.log
20140809_141047 50 3 3 141246882 5288 0 0 0 0 10000 86 906 3720 59.560 56.316 ../Q0b/v4d50/logb0003/c03d50b0003s141246882.log
20140809_141255 50 3 3 263688301 5369 0 0 0 0 10000 65 815 3751 85.007 57.346 ../Q0b/v4d50/logb0003/c03d50b0003s263688301.log
20140809_141156 50 3 3 420477893 5417 0 0 0 0 10000 75 856 3652 82.336 57.05 ../Q0b/v4d50/logb0003/c03d50b0003s420477893.log
20140809_141241 50 3 3 50746969 5341 0 0 0 0 10000 65 875 3719 69.913 56.301 ../Q0b/v4d50/logb0003/c03d50b0003s50746969.log
20140809_141324 50 3 3 533657980 5263 0 0 0 0 10000 73 834 3830 60.441 56.16 ../Q0b/v4d50/logb0003/c03d50b0003s533657980.log
20140809_141120 50 3 3 681028781 5377 0 0 0 0 10000 54 872 3697 61.403 56.425 ../Q0b/v4d50/logb0003/c03d50b0003s681028781.log
20140809_141019 50 3 3 919028296 5360 0 0 0 0 10000 71 889 3680 60.468 56.737 ../Q0b/v4d50/logb0003/c03d50b0003s919028296.log
20140809_141151 50 3 3 967561224 5278 0 0 0 0 10000 65 861 3796 92.200 57.813 ../Q0b/v4d50/logb0003/c03d50b0003s967561224.log
20140809_141357 50 4 3 103765041 4270 0 0 0 0 10000 12 1598 4120 99.922 75.848 ../Q0b/v4d50/logb0003/c04d50b0003s103765041.log
20140809_141526 50 4 3 105731136 4346 0 0 0 0 10000 19 1631 4004 91.771 76.02 ../Q0b/v4d50/logb0003/c04d50b0003s105731136.log
20140809_141520 50 4 3 117661523 4312 0 0 0 0 10000 11 1615 4062 104.030 76.596 ../Q0b/v4d50/logb0003/c04d50b0003s117661523.log
20140809_141425 50 4 3 141246882 4317 0 0 0 0 10000 21 1664 3998 81.167 75.411 ../Q0b/v4d50/logb0003/c04d50b0003s141246882.log
20140809_141658 50 4 3 263688301 4344 0 0 0 0 10000 19 1598 4039 135.223 76.144 ../Q0b/v4d50/logb0003/c04d50b0003s263688301.log
20140809_141633 50 4 3 420477893 4412 0 0 0 0 10000 14 1621 3953 95.098 76.034 ../Q0b/v4d50/logb0003/c04d50b0003s420477893.log
20140809_141716 50 4 3 50746969 4336 0 0 0 0 10000 17 1618 4029 121.768 76.253 ../Q0b/v4d50/logb0003/c04d50b0003s50746969.log
20140809_141719 50 4 3 533657980 4353 0 0 0 0 10000 14 1568 4065 97.123 75.583 ../Q0b/v4d50/logb0003/c04d50b0003s533657980.log
20140809_141504 50 4 3 681028781 4250 0 0 0 0 10000 8 1688 4054 100.357 76.471 ../Q0b/v4d50/logb0003/c04d50b0003s681028781.log
20140809_141335 50 4 3 919028296 4282 0 0 0 0 10000 13 1628 4077 102.193 75.551 ../Q0b/v4d50/logb0003/c04d50b0003s919028296.log
20140809_141616 50 4 3 967561224 4353 0 0 0 0 10000 7 1641 3999 154.124 76.3 ../Q0b/v4d50/logb0003/c04d50b0003s967561224.log
20140809_141830 50 5 3 103765041 3482 0 0 0 0 10000 1 517 6000 114.926 95.114 ../Q0b/v4d50/logb0003/c05d50b0003s103765041.log
20140809_142047 50 5 3 105731136 3483 0 0 0 0 10000 2 517 5998 159.929 97.594 ../Q0b/v4d50/logb0003/c05d50b0003s105731136.log
20140809_141936 50 5 3 117661523 3431 0 0 0 0 10000 0 485 6084 140.167 95.613 ../Q0b/v4d50/logb0003/c05d50b0003s117661523.log
20140809_141914 50 5 3 141246882 3538 0 0 0 0 10000 3 563 5896 126.149 94.661 ../Q0b/v4d50/logb0003/c05d50b0003s141246882.log
20140809_142156 50 5 3 263688301 3564 0 0 0 0 10000 5 459 5972 128.082 95.098 ../Q0b/v4d50/logb0003/c05d50b0003s263688301.log
20140809_142143 50 5 3 420477893 3534 0 0 0 0 10000 2 435 6029 142.030 95.488 ../Q0b/v4d50/logb0003/c05d50b0003s420477893.log
20140809_142241 50 5 3 50746969 3542 0 0 0 0 10000 3 481 5974 176.106 98.063 ../Q0b/v4d50/logb0003/c05d50b0003s50746969.log
20140809_142303 50 5 3 533657980 3474 0 0 0 0 10000 2 486 6038 152.578 95.426 ../Q0b/v4d50/logb0003/c05d50b0003s533657980.log
20140809_141949 50 5 3 681028781 3519 0 0 0 0 10000 1 482 5998 132.126 95.956 ../Q0b/v4d50/logb0003/c05d50b0003s681028781.log
20140809_141755 50 5 3 919028296 3433 0 0 0 0 10000 3 508 6056 156.004 98.577 ../Q0b/v4d50/logb0003/c05d50b0003s919028296.log
20140809_142053 50 5 3 967561224 3515 0 0 0 0 10000 4 511 5970 125.403 94.864 ../Q0b/v4d50/logb0003/c05d50b0003s967561224.log
20140809_142417 50 8 3 103765041 1891 0 0 0 0 10000 0 445 7664 213.791 153.163 ../Q0b/v4d50/logb0003/c08d50b0003s103765041.log
20140809_142648 50 8 3 105731136 1894 0 0 0 0 10000 0 460 7646 281.554 154.051 ../Q0b/v4d50/logb0003/c08d50b0003s105731136.log
20140809_142558 50 8 3 117661523 1823 0 0 0 0 10000 0 456 7721 231.601 152.242 ../Q0b/v4d50/logb0003/c08d50b0003s117661523.log
20140809_142424 50 8 3 141246882 1836 0 0 0 0 10000 0 466 7698 393.927 163.551 ../Q0b/v4d50/logb0003/c08d50b0003s141246882.log
20140809_143004 50 8 3 263688301 1883 0 0 0 0 10000 0 487 7630 334.134 156.75 ../Q0b/v4d50/logb0003/c08d50b0003s263688301.log
20140809_142808 50 8 3 420477893 1931 0 0 0 0 10000 0 452 7617 190.448 153.085 ../Q0b/v4d50/logb0003/c08d50b0003s420477893.log
20140809_143011 50 8 3 50746969 1883 0 0 0 0 10000 0 436 7681 204.827 152.6 ../Q0b/v4d50/logb0003/c08d50b0003s50746969.log
20140809_143126 50 8 3 533657980 1857 0 0 0 0 10000 0 478 7665 427.080 166.624 ../Q0b/v4d50/logb0003/c08d50b0003s533657980.log
20140809_142442 50 8 3 681028781 1889 0 0 0 0 10000 0 450 7661 275.820 154.316 ../Q0b/v4d50/logb0003/c08d50b0003s681028781.log
20140809_142353 50 8 3 919028296 1827 0 0 0 0 10000 0 494 7679 198.989 152.148 ../Q0b/v4d50/logb0003/c08d50b0003s919028296.log
20140809_142734 50 8 3 967561224 1845 0 0 0 0 10000 0 474 7681 282.777 153.162 ../Q0b/v4d50/logb0003/c08d50b0003s967561224.log
20140809_143152 50 10 3 103765041 1235 0 0 0 0 10000 0 262 8503 322.580 193.285 ../Q0b/v4d50/logb0003/c10d50b0003s103765041.log
20140809_143650 50 10 3 105731136 1227 0 0 0 0 10000 0 266 8507 474.807 205.266 ../Q0b/v4d50/logb0003/c10d50b0003s105731136.log
