timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion mongoid
20150609_201134 5 1 2 100 100000 263688301 0 10000 9916 84 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.117 0.14 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed263688301.log 45575 q3-extractinstructions.txt 20150609_201142 0.5 557763337768391ad80a3158
20150609_201139 5 1 2 100 100000 50746969 0 10000 9902 98 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.145 0.172 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed50746969.log 51717 q3-extractinstructions.txt 20150609_201147 0.5 557763337768391ad80a3159
20150609_201144 5 1 2 100 100000 533657980 0 10000 9891 109 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.158 0.156 ../q3/./log/doc5cop2shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed533657980.log 55811 q3-extractinstructions.txt 20150609_201152 0.5 557763337768391ad80a315a
20150609_201150 5 1 3 100 100000 919028296 0 10000 9845 152 3 0 0 0 0 0 0 0 0 0 50 100 0 0 2.919 0.296 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed919028296.log 77168 q3-extractinstructions.txt 20150609_201158 0.5 557763337768391ad80a315b
20150609_201155 5 1 3 100 100000 103765041 0 10000 9852 147 1 0 0 0 0 0 0 0 0 0 50 100 0 0 2.877 0.249 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 72703 q3-extractinstructions.txt 20150609_201203 0.5 557763337768391ad80a315c
20150609_201200 5 1 3 100 100000 141246882 0 10000 9873 127 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.802 0.235 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed141246882.log 63674 q3-extractinstructions.txt 20150609_201208 0.5 557763337768391ad80a315d
20150609_201205 5 1 3 100 100000 681028781 0 10000 9863 137 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.842 0.249 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed681028781.log 67990 q3-extractinstructions.txt 20150609_201213 0.5 557763337768391ad80a315e
20150609_201210 5 1 3 100 100000 117661523 0 10000 9856 142 2 0 0 0 0 0 0 0 0 0 50 100 0 0 2.858 0.249 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed117661523.log 71206 q3-extractinstructions.txt 20150609_201218 0.5 557763337768391ad80a315f
20150609_201215 5 1 3 100 100000 105731136 0 10000 9861 139 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.837 0.234 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed105731136.log 69444 q3-extractinstructions.txt 20150609_201224 0.5 557763337768391ad80a3160
20150609_201220 5 1 3 100 100000 967561224 0 10000 9853 147 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.878 0.234 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed967561224.log 72373 q3-extractinstructions.txt 20150609_201229 0.5 557763337768391ad80a3161
20150609_201225 5 1 3 100 100000 420477893 0 10000 9848 151 1 0 0 0 0 0 0 0 0 0 50 100 0 0 2.873 0.265 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed420477893.log 75084 q3-extractinstructions.txt 20150609_201234 0.5 557763337768391ad80a3162
20150609_201230 5 1 3 100 100000 263688301 0 10000 9867 132 1 0 0 0 0 0 0 0 0 0 50 100 0 0 2.829 0.234 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed263688301.log 66433 q3-extractinstructions.txt 20150609_201239 0.5 557763337768391ad80a3163
20150609_201235 5 1 3 100 100000 50746969 0 10000 9851 149 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.869 0.264 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed50746969.log 73513 q3-extractinstructions.txt 20150609_201244 0.5 557763337768391ad80a3164
20150609_201241 5 1 3 100 100000 533657980 0 10000 9832 168 0 0 0 0 0 0 0 0 0 0 50 100 0 0 2.912 0.312 ../q3/./log/doc5cop3shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed533657980.log 79644 q3-extractinstructions.txt 20150609_201249 0.5 557763337768391ad80a3165
20150609_201246 5 1 4 100 100000 919028296 0 10000 9796 204 0 0 0 0 0 0 0 0 0 0 50 100 0 0 3.623 0.265 ../q3/./log/doc5cop4shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed919028296.log 98084 q3-extractinstructions.txt 20150609_201255 0.5 557763337768391ad80a3166
20150609_201251 5 1 4 100 100000 103765041 0 10000 9803 197 0 0 0 0 0 0 0 0 0 0 50 100 0 0 3.603 0.327 ../q3/./log/doc5cop4shlf1lif100_af0s1tTOTAL_gf0i50d100m0_seed103765041.log 94601 q3-extractinstructions.txt 20150609_201300 0.5 557763337768391ad80a3167
