timestamp docsize shelfsize copies lifem simlength seed lost docstotal docsokay docsrepairedmajority docsrepairedminority docslost auditcycles auditfrequency auditsegments audittype auditrepairs auditmajority auditminority auditlost glitchfreq glitchimpact glitchdecay glitchmaxlife nglitches serverdefaultlife shockfreq shockimpact shockmaxlife shockspan shocktype nshocks nshockdeaths deadserversactive deadserversall walltime cputime logfilename logfilesize instructionfilename todaysdatetime extractorversion cpuinfo mongoid
20181122_030005 50 1 5 10000 100000 711283608 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 1 2 18 145 0.070 0.024 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed711283608.log 48978 hl-extractinstructions.txt 20181122_030005 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_12
20181122_030005 50 1 5 10000 100000 597296547 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 3 6 24 149 0.072 0.027 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed597296547.log 51038 hl-extractinstructions.txt 20181122_030006 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_13
20181122_030006 50 1 5 10000 100000 664375964 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 5 10 19 152 0.070 0.024 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed664375964.log 47685 hl-extractinstructions.txt 20181122_030006 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_14
20181122_030007 50 1 5 10000 100000 258760793 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 6 12 22 149 0.071 0.025 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed258760793.log 50124 hl-extractinstructions.txt 20181122_030007 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_15
20181122_030008 50 1 5 10000 100000 666549275 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 100 5000 2 2 5 10 22 153 0.072 0.024 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed666549275.log 48684 hl-extractinstructions.txt 20181122_030008 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_16
20181122_030009 50 1 5 10000 100000 376517787 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 2 4 16 143 0.068 0.024 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed376517787.log 47988 hl-extractinstructions.txt 20181122_030009 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_17
20181122_030010 50 1 5 10000 100000 817713633 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 1 2 14 145 0.067 0.022 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed817713633.log 47021 hl-extractinstructions.txt 20181122_030010 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_18
20181122_030010 50 1 5 10000 100000 519606501 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 3 6 23 147 0.073 0.026 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed519606501.log 51003 hl-extractinstructions.txt 20181122_030011 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_19
20181122_030011 50 1 5 10000 100000 715258232 0 10 0 0 10 0 9 10000 1 TOTAL 0 0 0 0 0 0 0 0 0 20000 20000 100 5000 2 2 3 6 24 149 0.072 0.026 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed715258232.log 50558 hl-extractinstructions.txt 20181122_030011 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_20
20181122_030012 50 1 5 10000 100000 792850679 10 10 0 0 0 10 9 10000 1 TOTAL 0 0 0 10 0 0 0 0 0 20000 20000 100 5000 2 2 5 8 23 149 0.069 0.024 ../hl/test/log/doc50cop5shlf1lif10000_af10000s1tTOTAL_gf0i0d0m0_sh20000i100s2m5000_svrdeflif20000simlen0_seed792850679.log 49104 hl-extractinstructions.txt 20181122_030012 0.6_20170522 GenuineIntel_fam6mod58step9cor1spd3392.304 adb6d1b33d149332aa6a76385cb4ff8042ffe5dd_21
